Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Army West Point,Patriot,54,"1,427",172,341,69,5,471,17,1,91,21,151,12,17,268,85,14,7,,44,11,,398,386,353,422,244,172,114,220,6,"1,637","1,458",82,9,17,,16,,16,49,,,,,34,14,1,364,430,,"1,059",387,80,1,10,52,10,"1,526",15,
Auburn,SEC,54,"1,367",335,414,79,17,779,84,1,155,30,297,16,19,240,60,13,7,,66,17,,305,393,344.2,284,162,130,101,448,12,"1,451","1,304",37,5,42,,25,,27,89,2,,,,12,7,,258,295,6,"1,034",279,51,,10,33,9,"1,364",12,
Austin Peay,OVC,53,"1,457",227,426,56,13,610,34,2,118,29,197,16,16,113,23,12,5,,39,8,,456,450,352.1,394,214,173,124,202,4,"1,614","1,424",57,5,31,,23,,27,51,,,,,32,7,,401,415,4,"1,057",442,57,,11,55,12,"1,556",19,
Ball St.,MAC,53,"1,411",247,388,64,7,625,53,,147,34,226,14,24,292,77,11,2,,73,15,,346,374,344.2,376,288,221,219,242,5,"1,663","1,372",73,5,27,,35,,41,69,,,,,18,13,,421,306,4,"1,034",466,73,,19,74,13,"1,573",29,
Baylor,Big 12,52,"1,340",227,373,60,11,497,14,1,152,33,194,7,22,220,63,11,3,,73,17,,383,358,346.2,305,201,144,139,327,11,"1,532","1,344",50,3,20,,29,,24,118,,,,,14,11,,400,277,6,"1,041",416,59,,18,40,12,"1,516",11,
Bellarmine,ASUN,51,"1,224",105,246,41,2,345,18,,111,13,94,11,18,280,65,7,3,,28,6,,304,390,315,412,296,262,186,145,2,"1,565","1,299",71,6,47,,34,,32,31,,,,,33,15,,393,360,1,945,420,48,,13,64,14,"1,413",17,
Belmont,OVC,50,"1,333",273,398,61,9,567,30,,139,20,243,10,12,246,61,11,4,,98,19,,327,328,323.2,321,176,143,75,238,8,"1,413","1,288",56,7,34,,10,,22,59,,,,,21,6,1,302,421,7,971,271,45,1,3,39,1,"1,287",3,
Bethune-Cookman,SWAC,50,"1,262",140,306,22,3,340,2,1,90,25,106,9,40,198,56,6,2,,52,22,,504,246,332.1,332,178,130,104,248,8,"1,455","1,283",61,14,25,,15,,25,59,,,,,26,15,2,253,443,2,997,301,66,2,5,82,15,"1,364",10,
Binghamton,America East,45,"1,185",175,293,54,9,455,30,1,98,24,155,16,16,315,82,7,2,,40,14,,258,306,300.1,301,172,141,89,238,4,"1,308","1,166",56,8,27,,18,,17,54,1,,,,26,10,,247,368,4,901,274,60,,8,48,10,"1,235",15,
Boise St.,Mountain West,50,"1,375",354,434,90,9,764,74,3,159,56,327,14,17,214,65,23,8,,32,8,,340,367,328,282,134,127,132,335,12,"1,390","1,222",36,5,28,,13,,21,85,2,,,,12,3,,359,238,5,984,394,24,,2,29,14,"1,402",26,
Boston College,ACC,47,"1,230",152,311,62,9,478,29,,90,28,141,8,11,256,60,14,6,,40,9,,337,303,309.2,316,202,173,155,250,6,"1,445","1,215",52,9,28,,18,,45,64,,,,,13,17,,339,300,1,929,368,49,,10,49,14,"1,346",16,
Boston U.,Patriot,57,"1,536",302,469,81,21,673,27,,146,47,267,20,42,225,58,12,5,,63,13,,428,412,375.1,310,140,110,104,319,15,"1,553","1,413",47,2,27,,19,,15,65,,,,,16,5,,473,294,3,"1,126",478,46,,7,27,9,"1,650",20,
Bowling Green,MAC,51,"1,328",196,334,48,4,477,29,,155,26,169,11,33,322,94,17,6,,55,11,,352,316,348.1,274,156,129,92,418,10,"1,476","1,311",46,10,47,,9,,40,121,,,,,24,9,,207,397,8,"1,045",215,53,,1,46,6,"1,313",5,
Bradley,MVC,52,"1,353",228,371,71,12,565,33,2,125,34,204,17,10,331,86,18,8,,66,9,,293,332,329.2,350,230,195,172,190,1,"1,516","1,289",59,8,26,,25,,25,60,4,,,,20,9,1,455,284,1,989,478,45,1,13,65,19,"1,512",23,1
Brown,Ivy League,41,"1,064",146,241,47,6,345,15,,96,29,125,4,23,200,42,11,7,,42,8,,312,295,270.2,259,138,106,132,193,4,"1,225","1,042",45,3,17,,17,,21,51,1,,,,23,7,,262,326,2,812,276,37,,6,33,7,"1,125",14,
Bryant,NEC,42,"1,100",161,262,51,4,366,15,,134,23,148,9,24,276,62,6,3,,46,11,,235,322,275.2,314,203,169,132,205,2,"1,299","1,098",44,5,24,,32,,32,53,,,,,29,8,,294,286,5,826,296,41,,5,38,14,"1,163",18,
Bucknell,Patriot,45,"1,110",90,241,41,4,311,7,,88,11,77,6,17,227,74,8,3,,9,1,,322,315,275,365,242,180,86,184,5,"1,312","1,181",86,16,32,,14,,20,45,,,,,16,9,,261,349,,825,274,57,,11,57,6,"1,156",9,
Buffalo,MAC,46,"1,189",185,261,45,7,434,38,3,162,30,167,10,4,358,120,6,2,,48,9,,192,373,312.1,385,222,181,94,210,2,"1,452","1,296",57,4,40,,19,,27,60,,,,,27,8,,356,337,,937,355,55,,8,37,8,"1,347",12,
Butler,Big East,48,"1,256",185,334,42,8,473,27,,150,28,162,12,22,247,54,10,3,,64,19,,304,358,326.1,266,151,118,113,342,9,"1,389","1,227",45,9,17,,31,,18,75,5,,,,17,14,,298,310,4,979,315,55,,13,49,7,"1,349",8,
BYU,WCC,52,"1,342",365,451,93,10,762,66,,200,35,336,12,33,177,63,20,12,,61,11,,382,327,329.1,292,125,95,83,284,17,"1,370","1,251",30,4,22,,14,,16,87,,,,,17,2,1,414,240,5,988,418,42,1,5,43,4,"1,448",31,
Cal Poly,Big West,48,"1,248",179,348,52,9,457,13,,106,40,162,7,32,173,52,21,10,,20,10,,381,335,304.1,360,217,164,149,192,4,"1,445","1,232",49,6,31,,26,,24,56,2,,,,27,13,,292,384,1,913,323,61,,8,60,18,"1,297",12,
CSU Fullerton,Big West,56,"1,520",296,466,78,5,671,39,1,130,43,260,12,18,280,56,18,8,,89,15,,398,349,370.2,366,221,183,181,324,11,"1,722","1,451",60,8,34,,35,,62,71,5,,,,19,9,,443,304,4,"1,112",446,47,,4,46,11,"1,605",16,
California,Pac-12,56,"1,492",275,434,63,8,684,57,1,152,37,247,10,26,252,81,11,6,,54,16,,407,397,369,404,255,215,164,246,3,"1,697","1,472",65,8,44,,56,,32,65,,,,,20,8,1,460,337,1,"1,107",500,62,1,14,45,17,"1,669",20,
California Baptist,WAC,56,"1,411",212,345,64,9,460,11,,119,36,180,17,47,267,67,10,7,,53,15,,420,385,377,379,206,165,152,250,6,"1,705","1,491",61,9,27,,21,,30,77,1,,,,15,16,1,405,440,6,"1,131",399,58,1,10,60,13,"1,588",9,
Campbell,Big South,54,"1,334",190,307,54,7,435,20,,154,34,158,17,46,272,74,14,4,,67,9,,354,422,375,292,139,105,98,355,14,"1,568","1,417",40,6,28,,14,,16,89,,,,,28,9,,395,348,,"1,125",416,76,,6,36,9,"1,617",9,
Canisius,MAAC,48,"1,282",248,374,58,13,506,16,,124,20,203,11,20,278,77,16,6,,107,19,,323,276,310.1,285,145,116,64,286,9,"1,300","1,195",52,13,24,,17,,17,84,,,,,19,5,,279,335,10,933,318,45,,8,21,9,"1,296",8,
Central Ark.,ASUN,55,"1,482",269,452,53,8,626,35,,172,10,239,9,28,287,71,8,2,,85,15,,411,309,359,318,147,129,107,338,9,"1,498","1,342",47,6,32,,17,,17,83,,,,,21,11,,357,341,6,"1,077",380,31,,5,27,17,"1,488",13,
Central Conn. St.,NEC,49,"1,236",135,277,63,7,420,22,,124,17,128,11,18,337,92,7,2,,12,9,,269,354,310,440,317,265,149,177,1,"1,561","1,342",93,10,45,,53,,30,47,,,,,23,17,,353,363,1,930,358,51,,5,66,8,"1,339",15,
Central Mich.,MAC,53,"1,420",235,392,80,5,626,48,,118,18,217,6,37,284,79,18,9,,15,5,,367,369,348,386,221,187,131,275,6,"1,566","1,375",55,7,42,,20,,18,72,1,,,,27,15,,348,377,1,"1,044",357,43,,9,52,13,"1,444",12,
Charleston So.,Big South,55,"1,460",217,384,73,7,576,35,,109,24,197,10,19,262,51,23,10,,32,10,,379,420,365.2,405,225,171,111,253,6,"1,630","1,456",80,9,45,,14,,17,65,,,,,32,13,1,342,452,,"1,097",395,59,1,7,27,16,"1,551",13,
Charlotte,C-USA,58,"1,558",319,461,93,12,791,71,3,193,47,296,14,17,250,74,16,8,,52,12,,365,469,392.1,460,245,216,124,270,5,"1,771","1,590",88,4,50,,24,,15,75,,,,,28,13,,448,415,3,"1,176",464,49,,4,26,9,"1,689",16,
Chattanooga,SoCon,54,"1,438",267,402,76,10,663,55,,114,33,246,16,48,279,71,8,2,,56,7,,371,383,359,363,232,168,160,181,6,"1,653","1,423",54,4,37,,49,,29,27,,,,,27,14,,457,396,5,"1,076",480,85,,6,77,10,"1,641",21,
Clemson,ACC,54,"1,380",263,378,61,11,653,64,1,170,43,242,9,7,277,58,24,10,,72,15,,329,366,355.1,301,131,95,88,324,17,"1,483","1,352",36,2,27,,44,,21,80,1,,,,16,6,,452,257,5,"1,066",459,53,,6,37,10,"1,578",16,
Cleveland St.,Horizon,46,"1,228",180,300,56,8,438,22,,94,20,154,5,40,270,52,6,3,,40,11,,341,304,313.2,322,196,150,134,285,2,"1,444","1,255",63,4,28,,25,,16,72,,,,,31,8,,323,298,1,941,350,70,,3,58,8,"1,361",11,
Coastal Carolina,Sun Belt,54,"1,384",212,352,60,,613,67,1,121,23,201,9,18,299,75,21,15,,42,7,,318,412,360,368,249,211,177,323,5,"1,661","1,403",59,8,39,,49,,44,73,,,,,23,14,,360,341,4,"1,080",407,70,,18,78,22,"1,557",16,
Col. of Charleston,CAA,52,"1,330",135,288,43,6,394,17,,114,43,117,9,31,267,70,18,8,,24,8,,384,397,351,346,220,156,175,231,3,"1,613","1,370",50,7,20,,33,,25,58,,,,,28,15,,413,359,3,"1,053",447,64,,6,94,12,"1,564",25,
Colgate,Patriot,48,"1,240",171,304,70,10,469,25,1,103,18,153,9,23,237,62,21,6,,21,6,,303,374,307,371,224,179,120,231,7,"1,459","1,280",63,8,22,,37,,26,63,,,,,22,10,1,366,286,7,921,366,63,1,8,52,11,"1,350",17,
Colorado St.,Mountain West,46,"1,262",232,368,58,13,536,28,,97,22,209,14,7,229,61,15,7,,47,10,,316,319,295,309,219,172,130,198,3,"1,374","1,178",52,4,47,,16,,39,50,7,,,,20,7,,356,305,2,885,353,42,,4,49,4,"1,280",8,
Columbia,Ivy League,38,988,126,237,40,2,338,19,2,87,28,111,5,15,188,45,7,2,,20,9,,258,288,244.1,276,184,137,104,130,3,"1,158",986,52,7,17,,17,,35,36,,,,,18,15,,225,354,2,733,245,49,,9,74,4,"1,027",7,
Coppin St.,MEAC,45,"1,113",162,265,56,10,371,10,,138,23,131,8,20,227,52,16,6,,21,12,,284,320,274.1,414,320,249,152,126,,"1,414","1,196",65,18,28,,53,,26,44,,,,,16,23,1,277,360,2,823,315,77,1,20,79,21,"1,215",15,
Cornell,Ivy League,40,"1,053",143,250,37,7,358,19,,116,25,131,12,16,209,63,12,6,,18,5,,246,340,267.1,311,183,144,77,121,1,"1,230","1,093",58,7,26,,5,,30,30,,,,,23,7,,310,334,2,802,326,60,,1,28,11,"1,188",14,
Creighton,Big East,42,"1,099",199,305,56,6,490,39,2,118,29,182,13,22,282,66,10,5,,22,7,,285,232,267.1,320,244,188,179,212,2,"1,331","1,103",56,4,37,,22,,26,58,8,,,,13,9,1,310,247,,802,336,48,1,10,82,10,"1,186",6,
CSU Bakersfield,Big West,45,"1,023",86,197,26,10,270,9,2,74,29,68,6,20,302,91,13,3,,35,10,,241,280,269.2,386,311,246,141,94,2,"1,402","1,146",69,13,33,,32,,68,36,,,,,31,16,,305,356,1,809,340,69,,13,45,14,"1,218",27,
CSUN,Big West,54,"1,376",197,305,60,9,440,19,,135,53,173,5,50,299,69,13,5,,35,8,,416,357,361.2,406,236,168,101,175,7,"1,678","1,474",71,7,23,,12,,60,59,,,,,32,10,1,443,425,3,"1,085",440,81,1,9,44,13,"1,606",12,
Dartmouth,Ivy League,44,"1,106",149,267,48,7,374,15,,101,25,126,6,26,232,56,9,5,,42,11,,278,323,287.1,300,186,161,124,185,7,"1,329","1,118",53,2,30,,25,,47,39,,,,,26,14,,229,410,4,862,251,37,,9,54,13,"1,150",13,
Dayton,Atlantic 10,46,"1,187",181,354,41,3,458,19,1,116,23,158,16,45,197,44,16,3,,63,11,,358,305,298,283,193,146,162,230,8,"1,367","1,150",45,5,27,,23,,32,62,1,,,,19,4,,354,260,6,894,377,54,,10,50,15,"1,325",20,
Delaware,CAA,45,"1,214",239,333,68,11,531,36,1,153,27,215,12,17,175,66,15,4,,38,13,,332,364,312.2,326,159,127,88,232,3,"1,394","1,238",59,9,23,,22,,37,58,2,,,,22,9,,366,308,9,938,362,49,,5,40,8,"1,349",8,
Delaware St.,MEAC,36,827,83,170,18,4,217,7,,79,23,69,4,12,147,44,10,5,,45,13,,282,207,212.1,348,280,202,124,70,,"1,136",966,75,8,27,,37,,14,20,1,,,,17,15,,282,247,,637,305,62,,17,50,15,"1,004",12,
DePaul,Big East,53,"1,450",308,410,91,14,691,54,5,189,43,290,16,11,312,62,9,7,,46,4,,368,345,351.1,389,241,210,162,241,5,"1,621","1,403",70,6,51,,19,,23,53,1,,,,14,19,,320,452,1,"1,054",325,48,,7,44,9,"1,427",13,
Detroit Mercy,Horizon,42,"1,033",87,215,24,,296,19,,91,14,78,3,10,228,47,15,5,,11,5,,302,269,259,395,264,213,85,139,1,"1,295","1,152",91,13,42,,14,,16,40,,,,,28,14,,223,379,2,777,251,68,,5,61,11,"1,096",6,
Dixie St.,WAC,51,"1,350",246,422,69,4,631,44,,135,23,226,13,15,243,53,17,6,,51,12,,337,338,313.1,451,287,235,117,231,3,"1,538","1,355",67,8,40,,27,,36,63,,,,,17,13,,342,322,3,940,355,56,,9,49,10,"1,351",19,
Drake,MVC,50,"1,247",240,331,58,7,478,25,,183,27,211,14,12,247,62,10,3,,80,10,,346,308,307.1,357,269,210,240,234,3,"1,561","1,244",76,6,35,,45,,39,62,1,,,,22,15,,256,394,3,920,276,61,1,21,90,10,"1,257",3,
Drexel,CAA,47,"1,320",247,374,59,8,557,36,1,177,24,223,12,18,192,54,22,16,,36,4,,346,394,318,355,200,168,108,152,3,"1,460","1,259",64,2,22,,23,,49,54,,,,,31,11,2,409,356,1,954,411,42,2,8,65,10,"1,407",17,
Duke,ACC,49,"1,264",365,425,79,8,796,92,1,149,54,346,17,18,210,55,4,1,,79,13,,248,373,303,216,117,86,91,331,8,"1,252","1,123",40,3,21,,22,,26,62,,,,,9,3,,299,260,7,909,303,34,,1,34,3,"1,246",10,
East Carolina,AAC,56,"1,411",239,366,68,13,547,29,,168,26,206,13,23,319,85,27,16,,66,15,,387,341,363.2,436,314,263,188,238,5,"1,763","1,485",62,2,67,,40,,36,57,1,,,,37,17,,356,455,5,"1,090",367,66,,6,51,5,"1,523",22,
Eastern Ill.,OVC,55,"1,476",296,416,81,6,653,48,,204,19,276,13,34,266,91,11,4,,44,14,,345,447,359.1,357,282,217,202,238,5,"1,694","1,399",73,9,38,,32,,47,58,2,,,,30,16,,350,434,2,"1,078",398,82,,13,39,11,"1,558",16,
Eastern Ky.,ASUN,49,"1,233",185,285,55,4,453,35,,167,39,166,17,11,273,63,15,8,,68,10,,262,417,316.1,447,281,240,140,128,3,"1,550","1,356",60,1,45,,33,,18,31,,,,,19,16,1,377,399,2,949,416,56,1,9,69,12,"1,421",13,
Elon,CAA,52,"1,299",195,306,49,9,454,27,,158,24,166,10,23,271,84,14,5,,65,7,,325,372,345,324,188,147,158,238,10,"1,539","1,317",47,6,30,,36,,28,63,,,,,25,11,,354,404,3,"1,035",370,54,,15,49,11,"1,459",15,
ETSU,SoCon,56,"1,387",126,308,42,9,380,4,,107,23,99,13,20,317,68,18,10,,113,41,,371,378,354,450,340,281,222,209,,"1,800","1,452",79,5,73,,24,,72,58,2,,,,36,18,,322,479,2,"1,062",348,63,,15,75,21,"1,473",17,
Evansville,MVC,51,"1,280",199,315,69,12,474,22,,166,24,173,5,11,323,76,15,8,,47,8,,297,327,325.2,344,234,197,179,242,8,"1,525","1,278",42,11,39,,23,,30,64,1,,,,20,18,,293,402,1,977,316,61,,1,86,11,"1,354",11,
Fairfield,MAAC,47,"1,194",179,299,56,4,399,12,2,117,17,155,12,50,292,74,9,3,,62,9,,292,335,317,350,193,158,142,184,7,"1,483","1,280",58,2,23,,36,,21,59,3,,,,30,10,,375,362,4,951,383,56,,9,51,5,"1,390",18,
Fairleigh Dickinson,NEC,49,"1,304",209,357,76,2,566,43,8,135,33,190,10,33,236,49,19,9,,40,9,,348,356,328,310,198,145,163,313,1,"1,484","1,265",47,5,22,,34,,26,57,3,,,,20,10,,271,348,2,984,315,65,,5,52,23,"1,364",8,
FGCU,ASUN,51,"1,308",161,324,46,10,477,29,1,99,26,151,7,27,232,41,7,3,,31,10,,343,409,336.2,398,246,207,190,179,4,"1,596","1,354",65,10,37,,20,,18,42,3,,,,20,14,,312,465,6,"1,010",343,47,,9,46,18,"1,400",19,
FIU,C-USA,50,"1,205",138,270,42,7,356,10,,120,19,115,10,28,216,54,14,9,,46,13,,385,331,324.1,378,255,224,145,202,3,"1,547","1,326",60,5,55,,28,,49,57,4,,,,20,7,,303,432,3,973,296,45,,8,50,9,"1,314",14,
Fla. Atlantic,C-USA,55,"1,370",195,326,56,18,478,20,1,137,25,174,16,24,325,69,5,1,,48,13,,338,376,367.1,328,216,184,199,268,11,"1,633","1,381",56,5,41,,32,,21,74,,,,,24,8,,327,449,1,"1,102",355,48,,11,38,19,"1,505",18,
Florida,SEC,59,"1,560",329,481,71,19,689,33,1,193,41,288,30,22,239,49,17,10,,123,14,,370,485,397.2,300,155,136,185,336,16,"1,697","1,455",54,7,34,,39,,36,79,1,,,,14,7,,396,419,11,"1,193",441,33,,1,36,7,"1,667",24,
Florida A&M,SWAC,49,"1,270",167,306,57,7,419,14,1,103,22,140,6,18,239,48,19,9,,68,15,,367,332,320.1,369,280,177,184,186,2,"1,565","1,298",57,17,25,,50,,33,52,,,,,36,14,,369,347,2,961,405,110,,15,118,15,"1,476",11,
Florida State,ACC,57,"1,517",344,445,80,10,749,68,3,226,17,318,22,8,246,68,16,7,,93,19,,372,438,397,293,139,116,105,359,18,"1,595","1,447",45,7,38,,16,,26,73,4,,,,11,6,,457,334,7,"1,191",447,29,,5,26,7,"1,667",24,
Fordham,Atlantic 10,50,"1,345",205,343,39,10,546,48,,133,22,191,10,19,289,68,12,4,,43,4,,345,338,334.2,308,168,126,167,253,8,"1,507","1,284",47,4,29,,20,,18,68,,,,,31,7,,314,400,2,"1,004",324,61,,9,24,9,"1,389",13,1
Fresno St.,Mountain West,55,"1,380",194,350,49,13,503,26,5,161,22,165,10,28,320,82,19,8,,54,13,,357,351,350,442,300,234,154,250,3,"1,699","1,469",60,12,51,,29,,25,70,15,,,,32,18,1,326,441,2,"1,050",350,77,1,6,57,11,"1,477",8,
Furman,SoCon,55,"1,366",193,299,51,7,430,22,1,151,37,163,15,31,300,72,15,5,,51,8,,353,404,355.1,428,278,209,162,166,5,"1,691","1,465",55,12,24,,28,,22,42,,,,,21,21,,454,396,4,"1,066",473,90,,9,87,14,"1,629",22,
Ga. Southern,Sun Belt,47,"1,166",159,268,29,8,415,34,,105,25,138,8,32,242,45,10,4,,49,12,,306,352,306,420,279,220,102,152,3,"1,478","1,305",83,8,52,,20,,26,39,,,,,33,12,,357,374,1,915,351,55,,2,70,13,"1,321",9,
Gardner-Webb,Big South,44,"1,130",130,250,51,5,338,9,,121,22,115,7,3,309,82,17,3,,29,10,,285,273,293.1,324,208,165,130,176,2,"1,357","1,168",69,9,25,,20,,26,47,,,,,19,14,,345,319,,880,368,55,,5,57,16,"1,303",14,
George Mason,Atlantic 10,50,"1,282",200,363,61,7,477,13,,134,16,179,12,22,245,59,20,5,,67,18,,311,357,329.2,350,231,196,163,167,3,"1,517","1,282",62,10,31,,45,,19,33,,,,,25,28,,313,463,4,989,323,51,,12,68,13,"1,363",20,
George Washington,Atlantic 10,51,"1,334",258,397,87,6,595,33,,150,21,233,12,30,168,59,24,14,1,35,11,,388,374,339.2,328,162,145,105,282,9,"1,467","1,317",67,9,25,,15,,20,70,,,,,16,9,,284,430,1,"1,019",286,28,,5,36,8,"1,333",9,1
Georgetown,Big East,43,"1,130",182,290,50,3,496,50,,113,37,165,8,18,234,44,6,2,,13,6,,269,331,280.2,349,267,233,177,245,2,"1,413","1,175",79,11,48,,13,,40,74,,,,,15,6,,237,322,1,842,271,47,,10,47,10,"1,160",9,
Georgia,SEC,56,"1,458",387,476,77,10,876,101,,190,29,361,17,18,247,49,21,13,,51,12,,330,405,362.2,337,241,210,206,378,5,"1,660","1,405",59,4,56,,36,,27,91,1,,,,16,5,1,295,389,4,"1,088",318,46,1,8,56,13,"1,452",19,
Georgia St.,Sun Belt,54,"1,336",192,317,51,7,475,31,,130,49,163,5,24,291,56,13,5,,121,24,,353,364,346.2,379,252,218,155,226,5,"1,612","1,375",61,11,57,,38,,38,64,,,,,29,13,2,366,410,3,"1,040",399,56,2,7,67,15,"1,495",15,
Georgia Tech,ACC,53,"1,410",298,401,76,6,594,35,1,224,43,264,10,29,257,85,16,7,,63,12,,419,333,363.2,291,178,145,189,348,8,"1,610","1,349",44,3,50,,29,,41,66,3,,,,24,7,,321,388,7,"1,091",315,37,,7,45,14,"1,443",15,
Grambling,SWAC,45,"1,179",209,312,49,6,388,5,1,142,25,165,8,23,225,56,5,1,,95,13,,307,292,284,336,220,181,132,141,5,"1,334","1,151",75,13,20,,18,,12,29,1,,,,27,12,,321,335,,852,362,69,,6,76,19,"1,283",7,
Grand Canyon,WAC,52,"1,387",325,455,70,14,697,48,,123,48,282,18,16,203,58,4,,,126,17,,299,417,340.2,331,181,131,119,248,8,"1,516","1,339",37,,40,,20,,35,69,,,,,20,3,,401,326,3,"1,022",410,58,,7,27,16,"1,490",18,
Green Bay,Horizon,50,"1,288",212,346,56,6,531,39,,145,39,187,7,30,295,74,20,10,,73,13,,298,329,316,359,210,158,121,232,3,"1,486","1,282",62,13,26,,22,,39,74,,,,,26,18,,361,321,2,944,363,72,,13,58,10,"1,379",10,
Hampton,Big South,55,"1,435",181,345,49,7,453,15,1,130,18,145,6,29,311,110,12,5,,74,16,,397,361,371,481,240,194,110,146,5,"1,717","1,528",79,10,24,,18,,25,57,,,,,40,14,,504,379,,"1,113",565,82,,3,63,20,"1,760",26,
Hartford,America East,49,"1,262",165,314,75,9,497,30,,87,21,138,11,13,272,62,13,7,,43,14,,320,335,312.1,413,260,202,93,150,4,"1,484","1,327",84,5,33,,6,,23,41,,,,,21,20,,389,349,,937,396,83,,6,52,9,"1,416",9,
Harvard,Ivy League,42,"1,080",162,268,37,6,365,16,,126,36,135,12,30,211,43,12,5,,61,8,,301,297,275.2,304,166,125,106,141,4,"1,275","1,110",47,8,20,,13,,19,24,,,,,32,8,,298,363,4,826,300,58,,2,45,5,"1,184",8,
Hawaii,Big West,42,"1,080",171,266,36,4,418,36,,112,36,150,2,17,253,70,13,6,,29,12,,252,286,278.1,279,153,133,142,163,6,"1,271","1,065",39,6,24,,21,,24,57,,,,,28,11,1,318,306,4,835,345,51,1,5,42,8,"1,231",26,
Hofstra,CAA,48,"1,293",171,322,47,6,423,14,,116,29,134,9,26,311,77,12,5,,36,4,,343,300,319,338,199,157,133,231,1,"1,465","1,267",49,11,27,,23,,32,77,,,,,26,7,,366,317,3,957,362,57,,10,68,13,"1,376",21,
Holy Cross,Patriot,50,"1,286",140,321,53,0,410,12,1,126,14,114,7,34,221,56,25,13,,23,5,,402,325,320.2,316,195,138,102,298,8,"1,431","1,289",70,10,22,,25,,13,85,,,,,17,10,,307,325,4,962,318,72,,4,57,8,"1,352",10,
