Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
A&M-Corpus Christi,Southland,52,"1,337",216,331,66,8,497,28,3,173,21,186,10,43,288,86,15,9,,72,11,,369,343,341.2,389,233,188,163,208,7,"1,601","1,366",61,10,16,,12,,31,56,,,,,26,15,,384,378,3,"1,025",396,68,,5,55,16,"1,489",15,
Abilene Christian,WAC,51,"1,301",200,344,62,9,508,28,5,156,41,175,8,21,279,74,17,10,,39,13,,343,320,327.2,340,223,177,140,212,6,"1,503","1,298",68,7,36,,43,,29,57,,,,,23,11,1,432,307,2,983,413,62,1,14,37,6,"1,458",12,
Akron,MAC,50,"1,285",174,311,47,5,437,23,,104,21,158,9,24,290,76,14,4,,28,4,,336,318,317.1,372,296,247,161,236,3,"1,559","1,320",68,9,36,,48,,41,58,1,,,,19,18,,348,346,2,952,352,64,,16,93,8,"1,368",8,
Alabama,SEC,52,"1,308",279,381,67,8,611,49,1,185,35,250,15,29,201,36,19,11,,56,14,,342,383,342.2,262,131,109,128,417,13,"1,428","1,267",30,4,24,,27,,12,88,13,,,,15,6,,349,235,4,"1,028",358,32,,7,18,4,"1,418",18,
Alabama A&M,SWAC,38,"1,005",164,264,42,7,353,11,,82,17,130,7,31,160,33,13,3,,52,14,,328,224,244.2,308,206,151,76,148,,"1,150","1,039",45,11,13,,17,,7,37,,,,,20,8,,320,237,,734,324,66,,23,99,7,"1,124",10,
Alabama St.,SWAC,55,"1,428",227,375,62,10,475,6,,129,28,176,12,41,257,77,7,5,,120,18,,385,394,361,413,260,181,147,197,6,"1,693","1,451",62,12,36,,32,1,36,56,,,,,42,17,,356,475,3,"1,083",376,88,,10,82,16,"1,547",18,
Alcorn,SWAC,48,"1,224",216,320,52,23,460,14,1,134,21,192,11,16,230,62,14,7,,77,10,,286,363,302,352,254,205,135,138,7,"1,434","1,239",50,8,29,,21,,21,42,,,,,20,18,1,367,370,1,906,360,61,1,9,60,8,"1,327",14,
App State,Sun Belt,55,"1,472",276,388,58,6,617,53,1,222,34,253,11,17,333,72,6,3,,44,5,,359,370,358,379,213,168,98,253,8,"1,585","1,410",46,5,41,,28,,42,63,,,,,23,12,,357,412,3,"1,074",385,56,,6,37,11,"1,515",16,
Arizona,Pac-12,53,"1,355",334,446,55,8,775,86,1,150,28,317,13,21,242,67,13,8,,22,8,,307,354,325.2,348,229,185,112,226,9,"1,469","1,302",60,7,64,,22,,28,65,,,,,15,12,,380,333,3,977,376,54,,2,18,10,"1,407",15,
Arizona State,Pac-12,48,"1,204",330,385,76,6,755,94,1,177,59,315,14,16,227,86,18,6,,32,9,,236,358,303,275,131,106,60,249,11,"1,282","1,181",32,3,34,,11,,30,69,,,,,7,4,,336,294,6,909,323,47,,5,16,7,"1,279",14,
Ark.-Pine Bluff,SWAC,45,"1,057",130,251,43,7,356,16,1,72,8,119,10,17,241,69,8,3,,20,9,,251,301,256.1,420,367,309,191,230,3,"1,417","1,159",87,16,29,,59,,26,66,,,,,23,18,,222,284,,766,227,65,,22,133,11,"1,058",8,
Arkansas,SEC,53,"1,374",388,463,69,6,850,102,1,188,57,359,16,17,214,43,26,14,,38,8,,347,344,341.2,308,168,137,112,366,12,"1,484","1,318",54,6,46,,23,,30,89,2,,,,19,5,,298,338,6,"1,025",298,38,,3,17,8,"1,361",10,
