Institution,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Houston,AAC,59,"1,600",256,442,54,10,606,30,2,166,53,215,10,57,258,61,22,9,,21,6,,507,412,420,349,153,115,93,255,17,"1,729","1,569",39,5,27,,18,,24,75,,,,,37,6,,575,384,,"1,260",580,60,,7,28,10,"1,900",28,
Houston Baptist,Southland,43,"1,115",123,247,43,4,376,26,1,101,18,113,6,36,208,59,13,6,1,3,,,331,335,286.1,304,203,166,121,93,2,"1,298","1,126",49,5,37,,4,,13,32,,,,,24,14,,303,420,,859,307,54,,7,56,10,"1,220",16,
Howard,MEAC,45,"1,070",143,250,60,3,343,9,1,86,20,123,7,21,234,61,13,3,,48,20,,328,235,263.1,421,356,239,144,158,1,"1,435","1,222",91,15,34,,27,,17,47,,,,,41,11,,308,296,,790,308,110,,7,121,7,"1,208",6,
Idaho St.,Big Sky,47,"1,193",149,288,50,3,425,27,1,97,15,134,7,23,250,84,20,7,1,46,13,,356,287,298,424,310,243,177,189,3,"1,526","1,303",87,14,28,,29,,18,57,1,,,,16,11,1,430,222,,894,432,80,1,16,62,14,"1,406",22,
Illinois,Big Ten,55,"1,552",350,493,83,16,758,50,,142,42,312,11,30,199,57,15,8,,66,19,,441,387,366.1,382,229,172,180,189,4,"1,705","1,442",57,9,45,,34,,30,54,9,,,,42,10,1,453,405,,"1,099",464,79,1,13,28,8,"1,642",25,
Illinois St.,MVC,54,"1,390",155,318,53,3,425,16,2,150,36,140,10,31,280,67,18,7,,20,7,,373,411,359.2,412,247,204,162,205,6,"1,702","1,471",77,10,38,,20,,37,55,3,,,,20,12,,485,357,,"1,079",479,50,,8,45,6,"1,608",16,
Indiana,Big Ten,56,"1,402",204,364,47,9,534,35,2,168,35,188,5,31,296,93,14,5,,112,46,,395,340,373,328,206,149,196,372,5,"1,704","1,463",51,3,28,,30,,16,90,5,,,,16,12,1,338,387,,"1,119",327,74,1,4,64,9,"1,520",7,
Indiana St.,MVC,54,"1,481",198,386,60,7,508,16,1,133,26,180,7,25,251,73,9,2,,65,7,,441,380,359,397,192,157,128,169,5,"1,623","1,413",71,4,29,,23,,35,41,,,,,37,10,,462,394,,"1,077",475,54,,1,33,9,"1,606",22,
Iona,MAAC,46,"1,206",141,259,37,7,373,21,,121,23,128,4,21,247,79,12,7,,12,2,,396,282,311.2,320,199,146,146,254,5,"1,445","1,240",47,5,22,,35,,20,71,,,,,28,11,,375,280,,935,376,63,,12,71,13,"1,374",8,
Iowa,Big Ten,53,"1,370",149,310,37,11,417,16,3,116,32,129,8,23,258,75,10,2,,49,7,,470,314,354,370,195,119,111,319,6,"1,606","1,432",49,6,19,,23,,36,91,1,,,,19,8,,364,344,,"1,062",375,71,,15,96,9,"1,508",9,
Iowa St.,Big 12,56,"1,524",188,392,61,10,608,45,1,108,25,166,4,16,272,67,13,4,,44,9,,453,384,364.2,428,268,217,172,207,4,"1,744","1,500",76,7,44,,19,,32,47,,,,,33,7,,450,397,,"1,094",448,71,,3,32,9,"1,613",17,
IUPUI,Horizon,49,"1,243",145,292,34,11,390,14,,88,49,119,6,20,204,66,14,5,,40,11,,400,324,310,372,259,211,158,183,4,"1,504","1,272",79,9,43,,29,,25,55,,,,,39,10,,341,373,,930,358,56,,10,52,7,"1,344",9,
Jackson St.,SWAC,40,945,130,238,49,9,329,8,1,81,14,108,3,15,199,56,7,3,,54,12,,255,223,226,368,334,258,126,109,,"1,238","1,049",56,15,22,,45,,32,28,,,,,15,15,1,262,278,,678,269,113,1,14,91,11,"1,060",8,
Jacksonville,ASUN,56,"1,386",200,351,46,2,488,29,1,171,39,175,15,31,240,64,18,7,,106,20,,399,399,375,384,178,150,121,176,11,"1,658","1,468",73,4,23,,17,,24,59,,,,,39,5,1,470,427,,"1,125",488,66,1,5,52,11,"1,679",21,
Jacksonville St.,OVC,60,"1,641",250,439,81,9,655,39,,126,41,230,10,37,367,70,10,2,,60,9,,406,406,402.1,384,241,188,239,274,6,"1,893","1,542",56,7,27,,53,,56,63,,,,,42,13,1,524,367,,"1,207",536,72,1,17,83,12,"1,815",18,
James Madison,CAA,57,"1,521",352,470,77,3,805,84,4,217,30,326,10,41,229,54,14,10,,33,15,,390,433,380.2,327,172,117,95,307,15,"1,616","1,453",50,6,41,,19,,32,65,,,,,28,7,1,381,421,,"1,142",381,70,1,12,18,13,"1,593",12,
Kansas,Big 12,52,"1,382",220,382,79,4,586,39,1,134,43,210,10,23,193,44,19,11,,30,4,,451,345,350,393,216,182,163,242,5,"1,625","1,395",55,7,30,,5,,28,77,,,,,33,6,,408,349,,"1,050",419,37,,9,48,11,"1,506",13,
Kansas City,WAC,56,"1,481",228,389,52,14,580,37,1,157,36,195,13,14,242,72,20,10,,35,8,,431,394,356,536,375,321,158,115,1,"1,801","1,554",101,19,57,,47,,42,27,,,,,32,15,,455,432,,"1,070",494,77,,9,57,17,"1,641",13,
Kennesaw St.,ASUN,56,"1,468",267,428,79,9,660,45,3,145,31,239,10,26,217,36,22,13,,46,9,,436,370,370.2,317,157,115,100,370,12,"1,565","1,413",45,6,27,,28,,22,80,1,,,,24,5,1,352,359,,"1,112",379,55,1,9,41,9,"1,546",15,
Kent St.,MAC,52,"1,437",284,443,71,13,669,43,12,158,27,258,10,31,224,78,13,8,,17,4,,432,316,332.1,395,262,235,195,163,8,"1,608","1,329",78,6,47,,35,,29,30,3,,,,39,14,1,383,407,,997,395,42,2,5,37,14,"1,434",15,
Kentucky,SEC,56,"1,462",302,445,59,10,686,54,2,163,29,276,9,40,246,73,18,6,,76,21,,414,357,363.1,344,196,162,143,262,9,"1,589","1,379",65,6,33,,26,,32,43,1,,,,30,5,,521,257,,"1,090",544,40,,8,37,11,"1,674",22,
La Salle,Atlantic 10,46,"1,177",158,262,55,1,412,31,,96,31,142,9,29,277,63,9,4,,24,13,,334,289,296.2,398,254,196,135,174,,"1,469","1,262",64,5,33,,23,,30,47,,,,,28,14,,360,313,,890,377,80,,9,67,11,"1,347",11,
Lafayette,Patriot,49,"1,210",165,270,59,4,409,24,,118,52,145,3,16,192,61,12,5,,41,20,,401,306,293.2,484,328,270,139,74,1,"1,531","1,326",101,16,31,,32,,24,17,1,,,,26,16,,364,395,,881,394,60,,9,91,8,"1,335",13,
Lamar University,Southland,56,"1,495",254,422,64,18,585,21,,184,29,211,17,21,204,52,16,2,,77,25,,375,459,374,428,255,196,164,140,6,"1,749","1,504",71,12,32,,41,,38,40,1,,,,29,13,1,472,446,,"1,122",517,78,1,14,62,10,"1,717",30,
Lehigh,Patriot,51,"1,375",173,352,41,5,442,13,2,111,15,155,11,31,179,48,10,5,,111,13,,447,375,347,338,214,164,139,269,7,"1,559","1,349",63,8,19,,16,,24,103,1,,,,34,13,,342,391,,"1,041",351,64,,5,45,13,"1,456",13,
Liberty,Big South,63,"1,695",302,506,105,20,759,36,3,169,30,261,21,18,218,74,19,6,,100,16,,456,486,425.1,350,143,124,107,355,19,"1,760","1,579",52,7,25,,18,,32,86,1,,,,34,8,,431,448,,"1,276",425,40,,9,35,8,"1,741",21,
Lipscomb,ASUN,50,"1,356",197,379,63,4,546,32,1,143,23,168,9,19,206,63,20,5,,72,13,,376,368,345.1,253,126,102,116,252,11,"1,427","1,243",48,4,26,,11,,27,72,5,,,,36,5,,317,431,,"1,036",319,39,,7,35,7,"1,394",16,
LIU,NEC,51,"1,391",241,415,54,5,554,25,2,116,36,218,13,21,151,42,19,6,,28,8,,425,359,325,459,319,272,177,196,4,"1,634","1,380",72,12,49,,40,,37,50,3,,,,24,15,1,358,366,,975,381,55,1,14,36,19,"1,411",12,
LMU (CA),WCC,59,"1,510",220,396,75,3,621,48,,124,30,203,4,60,239,80,11,5,,24,13,,455,436,403.1,381,190,168,112,286,11,"1,739","1,565",61,10,34,,15,,32,58,,,,,24,6,,489,386,,"1,210",467,55,,2,40,9,"1,732",16,
Long Beach St.,Big West,57,"1,591",317,486,91,9,706,37,3,158,51,286,19,17,171,45,27,14,,26,6,,463,440,388,306,152,126,171,341,15,"1,678","1,428",46,2,24,,16,,37,84,3,,,,32,8,2,419,366,,"1,163",407,41,2,5,24,7,"1,611",24,
Longwood,Big South,54,"1,490",258,419,67,12,612,34,2,154,25,230,8,33,222,69,14,6,,78,19,,431,401,378.1,303,145,119,128,243,5,"1,596","1,397",53,5,33,,19,,21,74,4,,,,43,7,,365,489,,"1,135",376,60,,7,55,7,"1,571",22,
Louisiana,Sun Belt,57,"1,601",263,458,69,6,608,23,5,155,25,233,22,36,159,43,28,14,,84,24,,509,469,418.2,285,149,119,163,341,11,"1,735","1,506",40,12,34,,49,,25,75,,,,,34,7,,497,383,,"1,256",514,52,,11,58,6,"1,822",25,
Louisiana Tech,C-USA,57,"1,426",261,392,66,9,557,27,1,224,20,216,18,52,201,80,21,9,,129,19,,399,452,372.2,375,187,161,133,228,6,"1,658","1,421",70,8,36,,18,,44,56,8,,,,50,9,1,397,451,,"1,118",414,52,1,5,14,15,"1,584",16,
Louisville,ACC,53,"1,445",285,437,66,8,600,27,,160,21,248,18,29,197,46,21,11,,51,6,,426,345,352,345,223,173,211,267,6,"1,688","1,386",40,6,35,,26,,52,64,1,,,,32,7,,364,394,,"1,056",358,68,,7,60,7,"1,482",13,
Loyola Chicago,MVC,50,"1,283",164,321,53,9,443,17,1,146,18,144,6,30,207,64,15,5,,19,8,,385,369,328.1,347,159,128,100,188,9,"1,462","1,305",43,7,17,,16,,20,59,,,,,27,10,,457,299,,985,459,60,,6,52,12,"1,504",14,
LSU,SEC,62,"1,657",247,431,70,6,636,41,3,199,15,223,16,31,271,57,29,14,,77,7,,472,489,446,295,119,100,122,392,20,"1,793","1,600",35,4,21,,23,,25,91,,,,,36,9,1,515,398,,"1,338",498,48,1,7,65,10,"1,884",17,
Maine,America East,47,"1,214",143,280,33,8,377,16,2,143,27,126,11,16,212,56,15,5,,21,13,,347,354,313.1,319,181,132,116,233,6,"1,440","1,241",42,9,22,,14,,36,78,1,,,,31,15,1,347,323,,940,342,69,1,11,30,13,"1,351",10,
Manhattan,MAAC,53,"1,431",216,361,70,5,534,31,4,192,26,190,11,10,264,74,13,8,,41,13,,337,444,364,351,189,151,128,229,6,"1,602","1,409",74,5,37,,15,,32,84,1,,,,27,6,,446,370,,"1,092",455,60,,15,35,9,"1,607",23,
Marist,MAAC,59,"1,575",233,408,59,7,568,29,,160,40,200,13,48,264,73,12,4,,67,18,,476,410,388.1,380,218,187,205,201,4,"1,759","1,476",66,5,41,,58,,35,62,3,,,,36,7,,526,374,,"1,165",551,53,,8,36,19,"1,769",33,
Marshall,C-USA,55,"1,445",223,396,69,8,553,24,3,151,23,185,13,35,229,66,17,7,,116,32,,419,392,369,415,241,200,176,202,7,"1,731","1,457",68,6,39,,19,,40,71,7,,,,41,17,,454,390,,"1,107",468,74,,5,25,14,"1,649",20,
Maryland,Big Ten,55,"1,391",155,328,57,10,462,19,6,116,14,139,7,32,288,71,11,2,,26,10,,403,365,357,444,316,244,194,164,3,"1,750","1,496",76,13,39,,34,,24,45,5,,,,20,14,2,536,312,,"1,071",553,92,2,6,72,17,"1,716",18,
Massachusetts,Atlantic 10,49,"1,338",290,424,50,9,585,31,10,164,53,258,7,39,179,55,15,5,,29,5,,417,308,325.1,297,142,110,108,279,10,"1,414","1,273",47,2,25,,27,,20,73,1,,,,8,5,,389,284,,976,395,50,,14,36,5,"1,421",16,
McNeese,Southland,62,"1,585",361,461,76,10,734,59,3,283,47,319,27,25,276,84,15,8,,148,39,,355,502,413.1,458,269,210,154,195,6,"1,906","1,666",73,9,58,,30,,27,52,3,,,,47,12,,454,546,,"1,237",456,86,,9,35,14,"1,779",18,
Memphis,AAC,58,"1,520",288,468,58,21,637,23,1,160,25,260,18,42,207,53,11,5,,85,23,,474,376,381,325,173,137,133,303,14,"1,659","1,434",49,4,32,,17,,43,68,,,,,37,12,,418,382,,"1,143",414,60,,7,48,9,"1,617",19,
Mercer,SoCon,52,"1,376",247,392,60,3,593,45,1,133,32,213,7,30,269,46,9,1,,78,9,,359,345,348,304,180,150,118,254,9,"1,520","1,331",46,7,50,,4,,34,91,,,,,29,8,,250,513,,"1,044",270,58,,3,50,6,"1,372",6,
Miami (OH),MAC,49,"1,308",219,353,61,8,517,29,4,141,25,192,11,44,234,74,13,4,,33,9,,372,349,328.1,397,228,195,130,265,4,"1,544","1,343",62,5,45,,14,,28,64,11,,,,30,13,,366,324,,985,363,47,,5,51,8,"1,395",11,
Michigan,Big Ten,57,"1,494",307,450,76,8,674,44,5,197,41,278,9,24,218,55,17,8,,71,14,,432,380,371.1,219,84,76,94,393,26,"1,464","1,308",35,4,16,,18,,35,74,4,,,,20,6,1,425,275,,"1,114",414,26,1,5,21,10,"1,554",8,
Michigan St.,Big Ten,52,"1,342",209,357,71,8,549,35,3,181,43,185,12,25,204,54,16,5,,36,15,,391,385,336.2,373,214,164,152,319,5,"1,574","1,365",65,11,18,,16,,30,84,10,,,,26,1,,312,336,,"1,010",303,62,,2,48,14,"1,375",19,
Middle Tenn.,C-USA,61,"1,587",262,476,63,7,658,35,,133,21,234,14,73,220,52,17,9,,94,15,,462,454,403.2,384,206,161,128,224,11,"1,751","1,553",66,8,26,,19,,24,73,1,,,,41,5,,583,347,,"1,211",585,77,,2,52,19,"1,873",17,
Minnesota,Big Ten,58,"1,567",330,449,83,11,719,55,13,198,33,293,16,21,238,81,20,8,,64,7,,418,431,384,333,138,104,101,336,20,"1,610","1,466",50,7,23,,19,,14,72,3,,,,24,5,,511,267,,"1,152",513,57,,12,32,12,"1,722",16,
Mississippi St.,SEC,61,"1,621",316,473,88,19,764,55,6,143,59,291,15,10,199,55,24,7,,52,8,,483,444,404.1,326,162,119,170,416,19,"1,755","1,536",50,6,17,,23,,27,80,,,,,13,9,,463,293,,"1,213",465,75,,6,28,13,"1,753",15,
Mississippi Val.,SWAC,45,"1,123",158,274,46,9,362,8,,102,9,129,16,22,199,51,9,3,,25,7,,343,277,273,403,303,244,164,126,1,"1,440","1,188",67,21,21,,24,1,30,36,,,,,33,21,4,306,345,,819,321,87,4,5,121,16,"1,227",8,
Missouri,SEC,59,"1,574",282,457,82,3,719,58,4,172,32,258,20,11,230,78,23,10,,63,13,,483,388,386.2,426,269,206,173,220,11,"1,768","1,559",47,8,53,,32,,17,47,1,,,,8,11,,549,331,,"1,160",552,61,,9,38,14,"1,773",23,
Missouri St.,MVC,52,"1,410",220,383,47,16,528,22,,122,21,183,14,24,254,68,15,6,,64,10,,418,336,349.2,345,183,147,135,271,8,"1,550","1,348",46,8,35,,15,,27,76,8,,,,27,13,,395,336,,"1,049",414,45,,5,33,6,"1,508",22,
Monmouth,MAAC,48,"1,290",215,340,57,16,546,39,3,144,37,196,5,16,286,83,12,5,,40,11,,289,348,329.1,311,181,145,138,269,6,"1,466","1,283",52,11,26,,29,,22,56,,,,,17,6,,367,311,,988,367,59,,7,30,13,"1,414",17,
Montana,Big Sky,55,"1,455",190,364,38,8,469,17,4,136,21,169,5,44,262,79,16,9,,27,11,,467,335,367.2,372,196,162,93,282,7,"1,597","1,429",55,13,29,,23,,25,91,2,,,,37,12,1,392,387,,"1,104",395,47,1,7,61,14,"1,546",8,
Morehead St.,OVC,51,"1,328",156,320,35,2,449,30,1,107,19,139,9,39,211,60,20,8,,36,8,,419,373,351,268,149,116,131,373,8,"1,497","1,281",50,3,21,,6,,43,86,,,,,32,9,1,282,361,,"1,053",302,48,1,3,56,14,"1,403",10,
Morgan St.,MEAC,45,"1,170",209,316,54,11,428,12,1,127,23,167,6,32,215,57,12,2,,76,19,,306,310,304.1,273,148,105,117,231,13,"1,302","1,143",47,7,10,,19,,8,46,3,,,,25,9,,320,303,,913,353,58,,13,57,11,"1,324",21,
Mount St. Mary's,NEC,44,"1,097",136,255,49,3,370,20,1,105,22,118,9,30,211,67,17,6,,43,11,,314,317,280.1,324,218,188,174,145,1,"1,350","1,111",53,8,35,,30,,23,47,,,,,27,13,2,329,309,,841,367,52,2,7,58,7,"1,260",37,
Murray St.,OVC,52,"1,386",197,345,59,12,497,23,,134,10,173,10,35,261,66,11,6,,48,10,,430,348,349.2,386,221,183,108,165,6,"1,574","1,411",59,13,27,,12,,10,55,1,,,,33,12,,494,348,,"1,052",484,69,,2,31,15,"1,605",15,
N.C. A&T,MEAC,44,"1,160",118,287,41,6,358,6,,71,23,104,,33,193,47,17,3,,15,7,,394,263,285.2,406,319,225,135,156,,"1,477","1,249",70,9,24,,34,,36,51,,,,,35,21,1,326,323,,857,351,111,1,8,62,16,"1,319",17,
N.C. Central,MEAC,46,"1,172",145,282,28,3,373,19,,83,12,119,5,44,176,50,17,8,,44,20,,410,293,302,297,176,137,132,335,10,"1,364","1,168",50,9,19,,17,,27,67,1,,,,31,6,,255,281,,906,284,59,,12,89,12,"1,249",12,
NC State,ACC,54,"1,346",195,336,53,7,511,36,,155,22,180,10,37,298,91,10,5,,39,7,,373,344,349,376,241,175,190,230,6,"1,651","1,369",54,5,33,,38,,50,72,1,,,,30,12,,520,239,,"1,047",544,58,,15,39,9,"1,649",24,
Nebraska,Big Ten,54,"1,396",231,372,67,6,580,43,1,153,31,204,10,19,236,67,15,5,,53,9,,365,402,352.2,419,226,202,165,217,5,"1,653","1,418",74,4,39,,19,,19,75,5,,,,30,20,1,401,394,,"1,058",410,41,1,4,37,11,"1,509",18,
Nevada,Mountain West,54,"1,550",327,481,77,3,705,47,1,192,34,301,22,21,209,59,28,13,,31,4,,473,367,362.2,420,290,224,193,249,2,"1,747","1,459",65,7,45,,17,1,34,90,,,,,52,9,,389,402,,"1,088",413,68,,12,57,9,"1,569",15,
New Mexico,Mountain West,53,"1,285",182,313,51,7,477,33,,178,25,169,7,24,377,114,17,8,,29,10,,324,269,326,493,372,300,205,141,,"1,727","1,443",76,14,64,,23,1,34,50,1,,,,28,17,,392,405,,978,400,78,,7,53,9,"1,456",13,
New Mexico St.,WAC,53,"1,426",297,443,78,13,721,58,4,142,51,271,8,21,230,60,21,5,,33,7,,400,341,341.2,414,253,196,90,215,7,"1,605","1,430",71,8,57,,14,,58,73,1,,,,23,4,,391,379,,"1,025",398,73,,15,27,7,"1,496",20,
Niagara,MAAC,49,"1,258",175,287,42,4,412,25,,171,15,163,9,24,237,81,17,9,,20,5,,412,313,318.2,375,233,193,137,222,7,"1,495","1,284",64,14,31,,11,,31,78,,,,,26,17,,328,357,,956,352,54,,4,72,10,"1,362",11,
Nicholls,Southland,55,"1,513",281,470,83,12,682,35,1,139,24,258,13,46,184,56,9,3,,44,8,,457,401,370.2,305,154,120,125,284,12,"1,565","1,395",46,7,17,,25,,13,50,,,,,24,7,1,398,389,,"1,112",404,63,1,10,53,15,"1,579",8,
Norfolk St.,MEAC,50,"1,310",215,351,56,4,529,38,,129,27,185,8,26,223,70,20,3,,57,14,,321,398,330.1,378,243,169,80,161,4,"1,498","1,354",82,9,25,,25,1,11,33,,,,,42,11,,426,358,,991,466,107,,6,60,16,"1,564",13,
North Carolina,ACC,56,"1,454",225,416,57,9,587,32,2,152,29,198,10,39,210,68,23,7,,116,31,,454,369,374,375,210,173,148,253,10,"1,688","1,452",71,6,41,,17,,40,71,3,,,,37,11,,391,436,,"1,121",410,55,,16,39,8,"1,586",17,
North Dakota,Big Sky,53,"1,371",194,335,65,15,487,19,1,142,24,173,9,11,264,83,17,5,,57,8,,352,399,345,363,212,171,120,258,7,"1,563","1,365",48,8,24,,35,,27,72,5,,,,40,11,,489,253,,"1,035",512,64,,17,51,11,"1,611",12,
North Dakota St.,Summit League,53,"1,335",192,341,70,1,485,24,1,165,7,171,10,31,231,77,22,10,,49,16,,377,386,354.2,316,155,121,97,402,16,"1,519","1,353",44,3,20,,20,,33,117,5,,,,26,9,1,259,378,,"1,064",258,37,1,8,37,8,"1,359",9,
North Florida,ASUN,54,"1,308",133,316,51,5,398,7,8,103,24,127,11,45,246,68,25,8,,69,22,,375,394,363.1,343,166,125,123,256,14,"1,611","1,406",50,3,19,,14,,41,76,,,,,34,7,,409,367,,"1,090",434,74,,3,70,17,"1,598",17,
North Texas,C-USA,52,"1,362",221,370,51,10,603,54,,130,23,205,8,64,210,60,11,4,,61,11,,416,385,351,387,222,176,121,243,8,"1,606","1,411",80,10,30,,18,,24,64,2,,,,41,8,1,382,398,,"1,053",375,66,1,7,30,12,"1,494",9,
Northern Colo.,Big Sky,56,"1,458",247,393,83,12,584,28,,221,27,224,9,20,291,103,18,8,,55,18,,397,374,369,393,244,197,123,228,7,"1,662","1,467",80,12,34,,17,,24,70,1,,,,35,13,,410,438,,"1,107",411,58,,9,43,10,"1,576",12,
Northern Ill.,MAC,56,"1,447",233,392,64,20,586,30,,151,30,203,14,39,272,81,14,6,,57,20,,370,415,361.1,412,232,180,161,174,4,"1,705","1,463",71,13,27,,18,,30,61,2,,,,43,8,,496,366,,"1,084",494,71,,8,52,13,"1,649",22,
Northern Ky.,Horizon,46,"1,208",170,334,54,4,429,11,1,115,11,149,11,55,201,70,9,,,21,4,,374,321,303,353,198,160,127,169,4,"1,411","1,228",62,6,26,,12,,22,57,1,,,,28,5,1,353,340,,909,366,67,1,5,46,6,"1,342",12,
Northwestern,Big Ten,57,"1,517",338,445,80,12,690,47,4,213,62,288,18,31,272,91,23,10,,114,16,,393,389,374.1,383,255,206,207,276,6,"1,765","1,496",68,8,52,,29,,28,70,4,,,,21,13,,379,438,,"1,123",386,67,,5,51,8,"1,576",18,
Northwestern St.,Southland,53,"1,364",257,363,63,10,554,36,1,126,38,232,9,41,201,66,9,,,49,10,,382,407,340.1,338,200,162,189,226,9,"1,591","1,296",46,10,23,,10,,53,79,,,,,34,19,,337,402,,"1,021",343,59,,3,65,16,"1,423",13,
Notre Dame,ACC,57,"1,452",248,409,64,8,594,35,2,128,59,217,18,48,203,33,18,11,,57,12,,478,368,374.1,343,208,158,205,268,8,"1,708","1,435",59,7,24,,18,,18,80,2,,,,38,11,1,466,356,,"1,123",447,58,1,10,103,8,"1,628",14,
Oakland,Horizon,50,"1,355",212,361,53,24,540,26,1,111,27,190,7,40,266,71,10,6,,23,7,,377,354,334.1,349,208,160,96,211,4,"1,493","1,338",60,9,18,,20,,22,56,1,,,,26,11,,402,365,,"1,003",409,66,,9,56,9,"1,478",9,
Ohio,MAC,57,"1,550",304,439,72,17,716,57,1,171,33,274,9,18,213,59,19,6,,37,8,,438,410,382.2,324,183,137,147,410,16,"1,674","1,456",54,7,32,,33,,36,102,1,,,,26,9,,310,392,,"1,148",322,71,,12,31,10,"1,541",9,
Ohio St.,Big Ten,52,"1,385",271,366,75,11,655,64,10,156,26,241,9,18,291,86,15,7,,32,5,,404,302,347.2,270,192,144,267,305,5,"1,611","1,271",45,6,21,,38,,35,81,,,,,22,16,,420,266,,"1,043",427,54,,18,36,17,"1,524",20,
Oklahoma,Big 12,62,"1,592",413,511,76,7,847,82,5,249,47,381,14,25,187,43,24,12,,72,20,,416,447,401,266,76,64,71,408,30,"1,553","1,435",32,2,20,,21,,24,97,1,,,,19,4,,382,375,,"1,203",397,22,,1,17,5,"1,622",14,
Oklahoma St.,Big 12,61,"1,648",347,517,72,8,791,62,6,219,34,318,16,29,321,94,21,11,,30,9,,427,372,400.2,412,197,151,105,222,9,"1,768","1,595",61,7,49,,10,,32,70,,,,,28,8,,508,440,,"1,202",500,53,,,23,7,"1,755",16,
Ole Miss,SEC,57,"1,505",238,387,58,9,544,27,,140,31,201,16,23,255,64,14,1,,81,20,,434,407,388,380,189,155,90,204,10,"1,667","1,506",53,7,26,,19,,29,69,5,,,,27,15,,541,372,,"1,164",530,58,,11,19,9,"1,752",24,
Omaha,Summit League,51,"1,321",198,335,61,5,514,36,1,126,34,175,5,34,289,80,19,7,,51,17,,383,304,330.2,411,288,226,150,184,2,"1,590","1,386",79,15,57,,29,1,26,54,,,,,20,8,,344,418,,992,366,68,,22,59,15,"1,426",11,
Oregon,Pac-12,63,"1,666",385,536,87,8,873,78,4,196,36,349,16,38,225,53,17,11,,80,14,,479,433,417,269,99,82,71,537,24,"1,605","1,501",34,1,22,,20,,17,110,1,,,,13,3,,458,216,,"1,251",470,47,,5,11,12,"1,768",23,
Oregon St.,Pac-12,58,"1,559",220,409,52,5,573,34,1,154,33,192,7,21,274,58,27,10,,55,10,,484,378,396,395,219,162,161,295,8,"1,790","1,569",58,6,39,,10,,22,96,,,,,28,10,,460,386,,"1,188",443,81,,7,39,15,"1,712",18,
Pacific,WCC,47,"1,240",186,337,58,5,480,25,3,113,32,161,10,28,192,79,13,8,,21,5,,388,311,311.1,368,223,170,160,217,5,"1,512","1,290",67,5,13,,12,1,25,65,,,,,28,9,,453,224,,931,447,70,,5,48,10,"1,448",11,
Penn,Ivy League,37,"1,019",196,303,40,7,414,19,,103,24,166,15,21,123,39,9,3,,57,8,,307,281,251,318,205,170,124,168,2,"1,222","1,037",46,7,32,,28,,16,64,1,,,,28,17,,211,341,,753,220,51,,10,31,12,"1,024",4,
Penn St.,Big Ten,50,"1,215",130,264,39,4,368,19,2,136,35,120,6,35,244,68,13,7,,15,7,,392,319,318.1,435,338,271,176,179,,"1,638","1,372",78,22,34,,81,,46,40,2,,,,30,14,,418,329,,954,434,58,,15,94,9,"1,446",8,
Pittsburgh,ACC,52,"1,355",258,361,63,4,594,54,7,164,39,211,8,36,269,58,17,8,,39,8,,360,357,346.1,358,181,150,112,157,8,"1,508","1,358",57,5,45,,9,,15,65,1,,,,19,4,,500,324,,"1,039",509,48,,2,28,10,"1,596",34,
Portland St.,Big Sky,52,"1,354",202,354,54,10,512,28,,105,39,175,9,46,268,58,12,7,,43,8,,392,344,331.2,432,294,240,154,209,1,"1,631","1,371",77,9,48,,32,,49,67,,,,,40,17,,327,419,,995,333,56,,12,65,12,"1,384",18,
Prairie View,SWAC,43,"1,089",178,297,41,6,401,17,,112,27,152,8,31,157,51,12,3,,49,14,,329,300,274.1,321,214,183,115,122,4,"1,279","1,107",55,7,35,,15,,19,33,8,,,,21,17,,276,385,,821,298,43,,3,64,15,"1,162",6,
Presbyterian,Big South,46,"1,143",97,240,30,2,298,8,,70,9,88,1,28,224,50,9,4,,22,3,,391,274,282,391,290,227,110,142,,"1,427","1,234",72,8,41,,28,,40,45,,,,,30,13,,337,334,,846,352,82,,2,84,10,"1,280",11,
Princeton,Ivy League,39,"1,024",137,278,42,7,376,14,1,80,25,119,8,19,103,43,19,10,,39,10,,336,288,246.2,311,248,216,185,118,4,"1,262","1,007",55,9,29,,43,,31,31,,,,,27,12,,277,307,,740,281,39,,5,36,11,"1,060",13,
Providence,Big East,45,"1,149",145,265,48,6,397,24,,133,25,136,7,38,238,68,13,7,,37,10,,302,349,297.2,334,213,177,128,149,3,"1,397","1,189",41,3,35,,32,,38,42,,,,,31,11,,402,302,,893,423,53,,12,42,13,"1,369",11,
Purdue,Big Ten,56,"1,439",170,345,47,4,475,25,1,151,40,152,8,18,257,67,24,8,,18,10,,448,371,362.1,417,310,263,233,235,2,"1,768","1,470",71,13,66,,28,,26,93,10,,,,27,12,,367,443,,"1,086",350,59,,13,76,21,"1,495",10,
Purdue Fort Wayne,Summit League,54,"1,409",210,350,61,5,496,25,,147,32,184,6,44,243,69,20,13,,40,10,,474,338,349,434,298,232,185,211,2,"1,715","1,424",60,11,50,,24,,55,57,,,,,36,14,1,369,418,,"1,046",394,73,1,5,62,20,"1,513",17,
