Institution,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Boise St.,Mountain West,56,"1,582",379,560,95,9,841,56,,154,22,328,16,42,156,49,16,12,,72,18,,483,359,358.1,322,215,162,213,308,6,"1,673","1,368",55,5,45,,16,,53,95,,,,,24,13,1,334,387,,"1,074",343,76,1,7,55,11,"1,493",17,
Boston College,ACC,53,"1,405",227,358,54,13,498,20,,162,40,185,16,41,242,58,13,9,,59,14,,452,353,363.2,301,172,128,166,326,11,"1,624","1,363",48,6,17,,15,,57,79,,,,,29,9,,380,347,,"1,091",385,61,,6,40,15,"1,537",6,
Boston U.,Patriot,59,"1,612",301,469,69,32,662,20,,128,32,254,17,34,134,39,16,5,,74,15,,555,430,395.2,371,169,136,118,274,14,"1,677","1,515",57,6,29,,19,,19,81,,,,,19,6,,466,390,,"1,187",471,53,,8,37,17,"1,711",24,
Bowling Green,MAC,52,"1,373",213,393,62,8,582,37,3,108,35,196,19,36,223,70,14,5,,34,11,,386,388,339.2,311,197,162,165,268,5,"1,531","1,281",59,5,27,,14,,41,84,4,,,,36,7,,357,347,,"1,019",378,53,1,5,28,11,"1,450",21,
Bradley,MVC,50,"1,344",238,383,73,3,600,46,3,137,30,217,7,6,272,66,21,12,,17,5,,355,305,321.2,380,261,174,155,180,4,"1,534","1,320",63,8,30,,16,1,26,52,1,,,,22,11,,354,383,,963,357,81,,8,49,8,"1,401",22,
Brown,Ivy League,39,"1,031",149,278,54,9,395,15,1,93,30,134,15,29,132,31,13,6,,15,6,,310,319,259,310,234,201,169,88,3,"1,276","1,040",60,6,22,,44,,24,23,1,,,,27,16,,370,287,,775,371,32,,4,58,7,"1,178",11,
Bryant,NEC,45,"1,105",154,263,45,6,389,23,,138,19,143,10,16,303,97,14,8,,41,18,,292,244,279.2,382,282,226,164,135,,"1,435","1,205",72,6,41,,18,,30,43,,,,,20,16,,346,328,,839,334,63,,8,46,10,"1,236",7,
Bucknell,Patriot,51,"1,352",230,365,71,14,572,36,2,138,25,208,5,28,248,73,16,8,,53,13,,362,363,339.1,344,187,148,104,211,6,"1,508","1,352",61,15,21,,18,,27,51,,,,,18,6,1,446,328,,"1,018",455,58,1,5,45,11,"1,531",12,
Buffalo,MAC,47,"1,139",189,299,48,13,460,29,1,110,43,175,9,17,249,72,8,5,,22,9,,265,323,275.1,458,336,272,104,173,3,"1,431","1,254",85,16,57,,26,,19,55,,,,,37,17,,238,379,,826,255,71,,7,48,10,"1,152",6,
Butler,Big East,48,"1,266",174,309,34,13,426,19,,140,34,154,13,31,264,58,8,1,,52,9,,356,335,321,370,220,183,166,210,7,"1,539","1,308",43,4,25,,34,,26,51,5,,,,26,13,,350,368,,963,357,54,,14,71,10,"1,374",15,
BYU,WCC,58,"1,483",326,439,74,8,706,59,3,194,47,304,19,44,258,74,11,6,,69,8,,405,392,368,364,196,155,178,295,11,"1,676","1,440",43,4,36,,23,,29,83,4,,,,23,5,1,422,335,,"1,104",438,70,1,4,34,9,"1,612",19,
Cal Poly,Big West,50,"1,267",145,311,49,10,410,10,1,111,36,127,13,31,173,29,17,7,,16,8,,395,386,333.1,362,181,160,103,167,5,"1,519","1,326",54,5,27,,20,,45,57,10,,,,36,9,,440,350,,"1,000",455,57,,6,34,11,"1,512",15,
Cal St. Fullerton,Big West,60,"1,554",256,449,71,10,591,17,,153,44,226,20,53,235,58,15,7,,84,20,,464,410,398.1,444,242,186,181,201,9,"1,836","1,565",62,2,45,,33,,31,57,2,,,,48,11,,569,357,,"1,195",577,58,,7,30,16,"1,830",36,
California,Pac-12,56,"1,513",272,409,77,18,606,28,1,148,25,233,17,24,262,63,10,1,,58,10,,430,386,374.1,311,151,129,131,381,17,"1,587","1,430",51,2,36,,16,,9,65,2,,,,12,5,,363,343,,"1,123",366,55,,4,52,9,"1,544",18,
Campbell,Big South,56,"1,447",294,390,82,3,679,67,,181,30,258,6,24,252,64,21,8,,55,12,,376,411,361.1,391,265,218,186,193,3,"1,705","1,432",80,12,44,,41,,34,55,1,,,,36,14,3,422,425,,"1,084",427,62,3,5,61,10,"1,573",18,
Canisius,MAAC,47,"1,169",130,259,36,7,360,17,,117,25,113,11,30,253,85,10,9,,64,12,,335,320,300,359,244,197,133,150,5,"1,420","1,207",67,13,27,,61,,32,46,,,,,36,11,1,370,328,,899,396,64,1,6,32,26,"1,359",14,
Central Ark.,Southland,56,"1,425",241,376,80,6,537,23,2,191,39,206,17,35,218,57,15,9,,94,19,,386,445,370.1,443,250,179,139,146,2,"1,716","1,496",87,12,27,,17,,26,46,,,,,32,22,1,520,389,,"1,111",550,65,1,7,76,22,"1,726",14,
Central Conn. St.,NEC,49,"1,285",187,342,49,7,480,25,,125,19,168,20,26,280,70,17,11,,47,7,,311,357,323,368,201,176,107,172,6,"1,469","1,277",58,12,30,,11,,35,34,1,,,,34,16,,349,393,,969,375,45,,7,36,16,"1,389",18,
Central Mich.,MAC,48,"1,282",182,367,56,16,515,20,5,94,24,166,14,49,163,45,12,4,,53,14,,419,351,318.1,345,174,143,106,151,5,"1,433","1,259",75,9,31,,10,,34,43,3,,,,23,11,,392,368,,955,405,49,,10,34,6,"1,409",19,
Charleston So.,Big South,56,"1,403",274,387,67,8,638,56,,162,45,239,19,17,268,62,23,5,,95,16,,314,424,358.2,424,266,223,183,195,7,"1,732","1,476",72,7,43,,39,,30,64,2,,,,27,16,,402,450,,"1,076",401,71,,7,101,8,"1,548",16,
Charlotte,C-USA,50,"1,325",153,360,64,6,478,14,2,126,26,137,8,51,228,56,14,9,,23,7,,382,380,334.1,370,233,176,136,261,5,"1,554","1,331",65,6,33,,11,,34,78,,,,,38,15,,288,413,,"1,003",316,59,,3,69,17,"1,378",15,
Chattanooga,SoCon,56,"1,467",216,417,62,4,589,34,2,124,29,202,6,56,215,49,17,4,,14,5,,421,432,368.2,393,263,198,198,169,4,"1,730","1,448",61,5,24,,25,,36,66,,,,,36,12,,471,400,,"1,106",494,78,,8,66,12,"1,678",24,
Cleveland St.,Horizon,49,"1,215",157,293,52,4,419,22,,150,27,136,5,31,270,84,24,9,,43,16,,367,284,319.2,417,264,228,129,166,2,"1,515","1,316",96,17,41,,30,,14,64,,,,,39,17,,310,438,,959,338,66,,3,79,13,"1,363",14,
Coastal Carolina,Sun Belt,54,"1,330",223,320,54,6,611,75,1,164,46,211,9,5,256,71,20,10,,32,8,,247,497,352.1,344,220,193,203,280,7,"1,653","1,366",44,11,39,,32,,45,79,4,,,,28,11,,296,452,,"1,057",304,43,,8,53,11,"1,404",11,
Col. of Charleston,CAA,58,"1,553",280,453,63,6,600,24,5,162,20,233,10,41,183,58,19,7,,53,14,,499,394,378.2,438,245,204,202,118,6,"1,807","1,499",66,5,38,,23,,33,40,2,,,,56,16,1,507,453,,"1,136",511,68,1,2,49,15,"1,715",27,
Colgate,Patriot,43,"1,097",119,231,52,5,329,12,2,76,19,113,10,30,193,53,12,6,,16,6,,352,320,285,346,218,161,130,138,1,"1,366","1,177",61,11,24,,14,,23,48,,,,,20,16,,377,300,,854,374,61,,5,51,10,"1,289",17,
Colorado St.,Mountain West,50,"1,371",246,404,76,15,597,29,,158,28,221,11,28,224,69,12,5,,44,9,,351,409,338.2,361,219,185,216,222,6,"1,609","1,346",63,7,25,,12,,17,80,2,,,,22,8,,416,327,,"1,016",434,57,,4,31,13,"1,507",23,
Columbia,Ivy League,40,"1,133",244,343,62,12,573,48,2,131,17,218,9,35,197,52,7,4,,28,8,,313,275,271.2,317,194,157,114,150,4,"1,290","1,101",65,6,25,,9,,40,46,2,,,,24,10,1,267,349,,815,292,60,1,4,51,15,"1,167",13,
Coppin St.,MEAC,40,"1,062",160,281,43,4,395,21,1,105,18,143,8,17,191,64,21,5,,20,8,,295,272,261,383,266,209,102,205,3,"1,296","1,134",97,23,20,,12,,16,55,1,,,,27,16,1,212,337,,783,217,61,1,8,60,13,"1,061",5,
Cornell,Ivy League,40,"1,089",156,310,63,5,431,16,1,89,24,147,10,27,135,33,16,10,,1,3,,338,318,261.1,373,244,191,106,130,2,"1,302","1,126",67,13,35,,30,,27,30,,,,,28,14,1,314,311,,784,323,43,1,4,40,9,"1,150",9,
Creighton,Big East,43,"1,120",250,354,57,6,534,37,3,146,35,235,7,49,204,45,14,4,,21,4,,335,243,283.1,285,176,135,113,248,5,"1,297","1,121",41,9,37,,34,,28,90,3,,,,28,7,,273,306,,850,269,52,,9,41,5,"1,171",9,
CSU Bakersfield,WAC,44,"1,098",112,251,26,9,310,5,2,138,37,96,5,40,202,75,15,4,,37,13,,377,274,282,403,272,217,134,86,,"1,462","1,218",60,10,27,,28,,71,39,2,,,,23,15,1,395,317,,846,403,62,1,6,61,8,"1,311",23,
CSUN,Big West,59,"1,536",245,404,67,7,632,49,8,148,44,215,17,38,280,63,17,8,,45,8,,433,428,392,449,310,232,183,253,6,"1,880","1,589",91,12,45,,20,,59,85,4,,,,37,12,,380,488,,"1,176",401,82,,14,46,15,"1,659",25,
Dartmouth,Ivy League,40,"1,010",153,254,55,5,409,30,,87,26,146,7,15,181,51,16,5,,18,5,,242,319,262,280,151,123,90,194,1,"1,191","1,065",41,4,15,,16,,16,71,,,,,13,7,,256,318,,785,239,47,,8,42,7,"1,071",5,
Dayton,Atlantic 10,56,"1,454",219,397,75,8,548,20,2,110,29,193,14,54,234,57,14,4,,63,12,,416,411,370.1,356,194,151,134,298,8,"1,632","1,426",62,18,26,,16,,32,82,1,,,,29,9,2,355,416,,"1,111",351,56,2,4,39,20,"1,518",9,
Delaware,CAA,49,"1,236",166,306,61,6,442,21,5,146,6,147,11,24,218,58,8,4,,48,8,,373,324,311.2,436,302,220,145,131,1,"1,573","1,356",94,6,47,,23,,27,43,2,,,,32,13,,385,370,,935,398,95,,5,27,11,"1,428",19,
Delaware St.,MEAC,48,"1,233",185,323,56,7,456,21,1,124,18,172,14,27,189,49,24,8,,31,6,,372,338,301,434,304,248,157,114,1,"1,531","1,313",74,18,25,,18,,21,36,,,,,26,13,1,451,284,,903,466,79,1,13,77,18,"1,448",20,
DePaul,Big East,52,"1,381",240,385,69,6,583,39,1,162,25,211,13,31,190,62,17,10,,52,12,,411,387,355,280,137,115,146,358,10,"1,521","1,318",50,8,20,,18,,23,61,,,,,26,8,,425,253,,"1,065",406,43,,7,34,10,"1,514",11,
Detroit Mercy,Horizon,44,"1,121",160,278,59,2,395,18,1,120,10,127,5,14,242,71,12,7,,66,12,,274,294,273.2,356,267,198,147,206,2,"1,373","1,149",62,12,27,,32,,31,52,,,,,32,13,1,373,198,,821,403,79,1,9,54,18,"1,303",14,
Drake,MVC,57,"1,471",242,415,72,6,565,22,2,201,29,220,23,24,262,94,15,4,,92,23,,407,391,387,269,98,70,126,454,20,"1,569","1,404",35,3,15,,17,,19,113,2,,,,19,1,,325,345,,"1,161",346,44,,6,17,11,"1,551",12,
Drexel,CAA,52,"1,432",305,450,77,3,665,44,2,160,25,280,16,10,167,62,18,7,,22,11,,412,362,324.2,417,313,240,172,142,2,"1,589","1,350",79,3,60,,24,,23,51,9,,,,25,19,,377,401,,974,393,71,,6,51,16,"1,438",10,
Duke,ACC,56,"1,512",206,401,73,9,552,20,,143,36,172,10,51,212,58,18,12,,38,8,,507,393,386,357,188,113,126,262,9,"1,694","1,503",61,7,23,,14,,19,60,6,,,,38,7,1,590,270,,"1,158",582,76,1,7,46,9,"1,816",10,
East Carolina,AAC,55,"1,418",172,341,45,2,504,38,,126,26,162,11,25,235,68,17,11,,35,12,,448,377,366,403,229,182,178,209,3,"1,728","1,477",69,5,26,,30,,36,65,,,,,30,7,,432,422,,"1,098",408,61,,11,35,10,"1,567",11,
Eastern Ill.,OVC,56,"1,569",262,442,81,7,633,32,2,159,21,234,12,24,229,72,17,9,,63,11,,461,406,381.2,343,195,164,143,338,10,"1,665","1,446",55,10,34,,38,,39,88,2,,,,26,11,,308,456,,"1,145",333,53,,13,54,15,"1,531",16,
