Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
A&M-Corpus Christi,Southland,51,"1,230",108,274,42,7,363,11,,96,21,96,8,13,209,51,16,7,,49,14,,357,365,307.2,441,318,264,160,132,2,"1,555","1,304",80,10,35,,30,,39,42,,,,,36,16,,369,361,,923,386,85,,10,110,19,"1,394",27,
Abilene Christian,Southland,44,"1,141",170,300,55,8,443,24,,121,33,149,11,32,200,52,7,4,,54,15,,314,319,284,381,234,184,94,84,1,"1,365","1,196",76,11,43,,19,1,29,34,1,,,,28,17,1,367,352,,852,379,69,1,4,46,9,"1,300",23,
Akron,MAC,46,"1,150",192,312,57,2,457,28,1,81,24,157,12,37,199,47,7,3,,114,34,,336,296,289.2,401,306,246,162,205,5,"1,489","1,250",74,5,52,,35,,40,50,7,,,,24,13,,299,329,,869,318,63,,10,72,9,"1,250",12,
Alabama,SEC,70,"1,799",432,510,69,12,870,89,6,333,32,388,14,46,243,61,19,9,,142,16,,499,541,473.2,370,166,145,170,409,15,"1,984","1,761",61,3,33,,19,,27,91,5,,,,18,8,,475,496,,"1,421",482,54,,1,21,12,"1,957",15,
Alabama A&M,SWAC,42,"1,145",184,311,58,5,445,22,1,102,23,153,7,31,158,40,7,,,35,9,,384,266,279.2,320,181,145,114,143,5,"1,304","1,125",52,6,15,,9,,24,32,,,,,26,15,,270,387,,839,286,54,,9,44,7,"1,179",7,
Alabama St.,SWAC,49,"1,333",248,404,69,12,560,21,,112,36,218,12,14,173,41,11,3,,62,13,,352,374,318.2,384,243,166,187,169,3,"1,580","1,318",57,7,18,,29,,34,41,,,,,28,12,1,401,337,,956,408,85,1,21,74,13,"1,449",12,
Albany (NY),America East,43,"1,187",214,319,57,11,443,15,,118,16,181,8,14,135,33,14,6,,69,14,,361,340,304,280,162,135,124,147,3,"1,333","1,154",42,4,29,,18,,19,55,,,,,26,10,,324,400,,912,317,41,,2,45,8,"1,270",20,
Alcorn,SWAC,38,988,169,276,50,9,365,7,1,120,29,144,12,22,139,30,6,4,,39,4,,284,283,243,283,198,138,95,150,3,"1,180","1,025",47,11,18,,20,,28,52,,,,,26,6,,332,224,,729,322,76,,7,85,6,"1,127",7,
App State,Sun Belt,56,"1,456",223,348,58,3,511,33,,167,15,195,12,37,289,67,14,8,,44,11,,385,431,380.1,386,183,151,145,206,9,"1,689","1,499",60,9,39,,10,,19,70,,,,,19,6,1,481,405,,"1,141",486,52,1,3,28,14,"1,679",18,
Arizona,Pac-12,62,"1,655",402,527,73,7,944,110,5,202,24,379,13,27,306,80,14,11,,14,6,,403,407,400.2,264,120,92,112,415,15,"1,595","1,442",33,6,36,,12,,22,91,2,,,,15,4,,406,343,,"1,202",421,40,,2,15,10,"1,663",18,
