Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Arizona St.,Pac-12,55,"1,370",411,436,97,12,830,91,3,210,38,378,15,14,297,70,11,2,,57,9,,253,379,336.1,393,269,223,182,211,4,"1,628","1,357",67,5,53,,25,,53,68,2,,,,25,11,,310,439,,"1,009",323,52,,10,22,13,"1,384",20,
Ark.-Pine Bluff,SWAC,38,866,81,167,29,9,229,5,,65,16,70,,13,193,54,7,4,,19,7,,241,242,217,375,269,208,70,86,1,"1,146","1,031",65,18,27,,6,,14,30,,,,,21,10,,234,292,,651,259,92,,15,71,13,"1,002",6,
Arkansas,SEC,58,"1,487",284,428,74,5,662,50,,162,56,263,22,21,286,84,18,14,,13,2,,342,431,375.1,327,183,107,73,362,12,"1,625","1,480",47,3,28,,30,,43,80,5,,,,24,5,,446,301,,"1,126",440,88,,9,11,10,"1,654",6,
Army West Point,Patriot,56,"1,483",232,395,65,5,524,18,,143,30,206,14,35,220,63,19,11,,66,12,,459,401,370.2,379,209,165,132,232,6,"1,657","1,457",60,8,31,,19,,30,71,,,,,30,8,,372,460,,"1,112",398,61,,18,60,19,"1,571",15,
Auburn,SEC,60,"1,549",332,443,73,12,738,66,8,178,34,297,15,15,233,52,13,8,,69,17,,417,440,388,378,192,148,144,349,13,"1,686","1,499",37,3,44,,32,,13,74,2,,,,26,4,,469,294,,"1,164",474,54,,7,14,10,"1,692",30,
Austin Peay,OVC,55,"1,503",277,437,76,9,714,61,1,146,26,257,7,15,195,60,20,9,,50,4,,437,417,360,348,168,134,83,327,8,"1,538","1,387",50,6,35,,11,,21,74,,,,,36,11,,352,362,,"1,080",368,54,,5,65,13,"1,502",19,
Ball St.,MAC,54,"1,397",273,340,78,8,614,60,,229,44,259,12,14,313,120,13,7,,43,11,,251,483,360,341,201,145,165,313,10,"1,666","1,409",52,6,22,,44,,52,79,,,,,37,3,,440,284,,"1,080",483,80,,12,40,9,"1,643",19,
Baylor,Big 12,49,"1,237",143,301,38,2,406,21,,136,18,122,10,28,219,55,19,10,,41,12,,433,284,326.2,386,237,185,165,221,3,"1,563","1,336",80,10,25,,40,,19,49,1,,,,28,15,,396,335,,980,383,56,,17,59,6,"1,419",14,
Belmont,OVC,54,"1,412",279,410,64,10,599,35,1,179,26,257,18,14,242,79,21,3,,28,9,,342,396,342.2,335,188,153,141,333,9,"1,543","1,348",52,4,28,,42,,18,72,,,,,24,12,,380,290,,"1,028",372,60,,8,63,9,"1,460",9,
Bethune-Cookman,MEAC,57,"1,386",203,333,36,6,405,8,1,151,44,150,9,35,218,53,12,2,,92,18,,483,334,367,367,234,176,151,235,10,"1,683","1,439",69,8,32,,22,,41,67,,,,,35,17,,387,439,,"1,101",383,68,,12,69,10,"1,552",10,
Binghamton,America East,48,"1,244",222,341,60,11,504,27,,133,25,202,9,11,246,87,17,9,,56,18,,336,298,302.1,366,282,215,192,248,4,"1,510","1,254",82,13,47,,18,,30,52,9,,,,18,16,,253,372,,907,265,69,,3,43,7,"1,241",11,
Boise St.,Mountain West,52,"1,432",332,458,68,17,752,64,,114,42,301,15,17,143,44,11,10,,52,13,,376,421,337,324,188,155,150,215,9,"1,512","1,297",51,7,33,,28,,36,62,2,,,,24,4,1,377,370,,"1,011",387,54,1,11,25,8,"1,452",26,
Boston College,ACC,53,"1,324",179,329,50,9,454,19,,150,26,160,9,37,246,69,20,13,,46,19,,437,300,336.2,362,325,251,244,248,4,"1,722","1,349",52,10,45,,35,,87,86,,,,,23,19,,389,325,,"1,010",409,94,,9,76,8,"1,513",21,
Boston U.,Patriot,57,"1,478",224,399,53,10,565,31,1,137,42,200,13,30,217,63,18,7,,31,10,,425,434,381.2,315,146,101,111,369,15,"1,601","1,440",50,3,16,,8,,11,112,,,,,28,11,,436,311,,"1,145",428,61,,6,22,10,"1,634",10,
Bowling Green,MAC,51,"1,368",225,362,67,8,541,32,,156,29,194,8,33,329,83,9,5,,51,11,,339,326,336,348,238,177,147,283,2,"1,593","1,355",66,8,36,,31,,51,93,,,,,30,10,,342,356,,"1,008",350,80,,7,61,4,"1,438",10,
Bradley,MVC,50,"1,327",293,391,65,11,682,68,,165,36,268,12,8,253,49,23,11,,24,4,,305,365,318.1,379,232,172,147,216,2,"1,513","1,318",74,13,27,,22,,24,48,,,,,18,6,,385,308,,955,403,66,,11,71,15,"1,424",11,
Brown,Ivy League,39,994,122,226,49,5,333,16,,92,28,105,4,15,165,42,14,3,,33,8,,275,316,258.2,317,170,147,106,125,2,"1,220","1,060",55,10,20,,9,,25,49,,,,,21,8,,311,304,,776,311,36,,4,45,11,"1,123",10,
Bryant,NEC,45,"1,147",132,256,37,9,347,12,,128,27,120,8,8,299,83,9,2,,68,15,,302,275,295,370,216,170,114,173,3,"1,410","1,233",75,3,30,,29,,26,63,1,,,,25,12,,356,333,,885,331,45,,17,52,6,"1,261",4,
Bucknell,Patriot,52,"1,368",226,388,68,18,573,27,1,126,38,201,13,33,274,86,19,13,,63,19,,363,340,341,344,177,135,90,227,9,"1,480","1,334",74,19,22,,12,,25,79,,,,,19,12,,394,357,,"1,022",420,63,,6,27,11,"1,505",17,
Buffalo,MAC,43,"1,107",164,267,59,4,436,34,1,160,30,153,5,11,295,68,9,5,,37,11,,233,293,270.1,393,261,192,88,129,,"1,318","1,170",64,19,22,,6,,19,28,2,,,,24,17,,328,303,,811,382,71,,2,56,29,"1,264",11,
Butler,Big East,48,"1,289",158,325,51,3,448,22,2,107,26,142,9,28,230,55,12,5,,54,16,,367,349,316,329,199,159,163,312,4,"1,467","1,238",48,3,26,,34,,18,79,7,,,,36,12,,280,315,,944,298,54,,16,88,13,"1,296",16,
BYU,WCC,56,"1,470",264,409,74,6,648,51,,143,33,242,14,33,237,85,19,9,,40,8,,422,396,360,365,210,156,152,242,6,"1,633","1,435",57,4,38,,16,,16,64,3,,,,23,6,1,477,321,,"1,080",453,64,1,9,25,4,"1,597",21,
Cal Poly,Big West,51,"1,288",116,277,50,2,379,16,1,99,21,103,5,41,211,60,16,6,,16,6,,402,403,332,467,282,204,128,120,1,"1,624","1,412",80,10,26,,19,,23,26,17,,,,41,20,,428,395,,996,440,78,,4,44,16,"1,514",22,
Cal St. Fullerton,Big West,56,"1,435",264,408,64,11,638,48,2,154,35,246,14,46,246,52,18,11,,51,18,,403,391,372,323,160,139,151,277,6,"1,610","1,403",45,,33,,11,,22,78,1,,,,29,5,,401,399,,"1,116",401,39,,3,22,11,"1,556",19,
California,Pac-12,55,"1,515",259,432,56,12,608,32,1,121,38,224,12,26,231,56,16,2,,58,3,,437,395,364.1,335,204,152,185,311,11,"1,642","1,412",47,10,25,,26,,12,63,1,,,,24,9,,388,364,,"1,093",396,67,,6,48,9,"1,556",12,
California Baptist,WAC,54,"1,448",190,379,51,12,562,36,,96,33,166,5,59,240,62,26,13,,12,4,,448,379,358.1,399,218,173,103,201,6,"1,616","1,441",72,19,29,,27,1,21,62,1,,,,40,11,,379,459,,"1,075",367,68,,11,48,9,"1,510",13,
Campbell,Big South,54,"1,432",267,409,74,11,625,40,1,187,33,239,11,21,284,67,9,4,,51,14,,324,402,350.1,433,285,212,123,201,5,"1,667","1,472",72,14,34,,26,,34,38,1,,,,24,14,,416,397,,"1,051",424,79,,13,80,12,"1,554",11,
Canisius,MAAC,45,"1,176",170,309,51,7,428,18,,93,16,149,5,22,212,61,10,4,,85,21,,328,313,289.1,355,253,193,152,149,2,"1,414","1,198",71,10,36,,44,,29,52,1,,,,23,11,1,330,344,,868,351,68,1,9,41,11,"1,287",11,
Central Ark.,Southland,54,"1,432",261,418,75,8,596,29,,168,30,225,23,22,173,52,14,8,,112,15,,377,453,347.2,385,241,182,141,187,6,"1,617","1,410",71,8,31,,31,,25,49,,,,,32,9,,455,360,,"1,048",455,73,,13,79,10,"1,576",14,
Central Conn. St.,NEC,41,"1,145",194,313,62,5,472,29,,122,17,178,10,20,205,61,14,4,,49,6,,305,305,279.1,327,207,179,176,187,2,"1,361","1,122",47,6,17,,36,,27,46,2,,,,28,8,,344,265,,838,350,48,,7,46,15,"1,236",11,
Central Mich.,MAC,51,"1,286",193,326,56,14,482,24,5,124,27,159,7,34,210,58,19,8,,33,13,,427,311,330.2,404,256,224,145,178,1,"1,561","1,349",78,7,53,,20,,28,51,5,,,,24,14,1,305,456,,992,351,53,1,8,39,13,"1,396",17,
Charleston So.,Big South,55,"1,386",172,345,47,8,465,19,,110,39,158,11,49,242,54,16,3,,34,9,,416,396,361,412,267,218,187,224,3,"1,705","1,442",72,9,40,,16,,32,65,5,,,,24,20,,330,478,,"1,083",362,57,,8,96,15,"1,502",15,
Charlotte,C-USA,50,"1,313",205,375,72,11,568,33,1,142,13,189,5,19,249,62,20,10,,9,4,,370,299,308.2,440,339,281,189,155,1,"1,596","1,342",79,7,50,,23,,33,37,2,,,,19,13,,355,373,,926,369,65,,10,68,15,"1,360",13,
Chattanooga,SoCon,54,"1,434",258,420,64,6,613,39,,143,30,243,20,51,240,67,17,3,,28,7,,413,381,362.2,352,151,121,152,289,8,"1,632","1,409",36,9,25,,9,,31,103,1,,,,33,7,,429,332,,"1,088",435,61,,5,56,13,"1,584",9,
Cleveland St.,Horizon,49,"1,307",162,307,67,8,459,23,,111,17,135,5,36,250,70,12,4,,18,3,,389,345,323.2,429,275,216,126,160,3,"1,555","1,376",83,10,46,,29,,15,49,,,,,27,11,,402,366,,971,418,62,,11,53,12,"1,451",10,
Coastal Carolina,Sun Belt,60,"1,482",263,365,67,6,705,87,1,189,39,245,8,19,318,82,21,13,,38,10,,323,462,392,377,204,179,169,314,10,"1,749","1,489",56,2,38,,31,,45,85,3,,,,37,9,,344,473,,"1,176",367,46,,2,47,20,"1,589",12,
Col. of Charleston,CAA,56,"1,465",217,399,79,10,552,18,1,160,35,197,7,25,209,71,28,20,,23,8,,450,394,371.2,464,259,222,158,166,5,"1,763","1,529",80,5,25,,18,,40,48,2,,,,24,12,,419,472,,"1,115",426,58,,4,45,18,"1,599",22,
Colgate,Patriot,52,"1,366",193,366,79,4,546,31,1,112,37,177,5,22,196,58,18,10,,18,9,,395,404,336.2,456,249,211,162,109,5,"1,652","1,439",79,7,25,,21,,28,32,,,,,18,5,,424,424,,"1,009",442,64,,5,39,13,"1,515",19,
Colorado St.,Mountain West,51,"1,391",333,447,103,15,769,63,2,142,32,303,16,22,177,53,10,3,,37,1,,338,413,332.1,312,149,122,133,201,13,"1,445","1,264",56,8,25,,8,,20,78,1,,,,13,15,,406,338,,997,424,50,,4,22,8,"1,471",24,
Columbia,Ivy League,45,"1,132",214,315,50,14,489,32,2,129,22,185,11,37,187,49,11,4,,26,11,,319,310,285.1,353,215,164,109,125,5,"1,359","1,180",70,8,12,,20,,33,42,,,,,27,10,,380,315,,856,392,53,,3,33,11,"1,301",15,
Coppin St.,MEAC,41,958,97,205,36,3,268,7,1,98,21,78,6,24,189,49,14,8,,17,15,,290,263,246,344,295,219,143,147,,"1,257","1,063",59,16,25,,23,,16,35,3,,,,24,12,,242,312,,738,243,61,,8,84,9,"1,042",14,
Cornell,Ivy League,46,"1,139",152,291,64,2,452,31,,102,24,144,10,15,206,59,17,11,,10,1,,310,327,275.2,452,366,303,186,129,,"1,507","1,249",97,16,32,,42,,24,35,,,,,28,18,2,350,310,,827,365,61,2,24,88,8,"1,253",15,
Creighton,Big East,44,"1,136",211,317,43,6,489,39,1,144,38,199,3,48,225,60,14,8,,29,11,,332,271,284.2,281,207,156,172,235,5,"1,352","1,113",49,2,47,,28,,33,73,5,,,,23,11,,292,285,,854,314,59,,14,34,10,"1,227",19,
CSU Bakersfield,WAC,47,"1,229",157,304,32,13,404,14,,92,17,129,13,23,224,64,22,11,,34,10,,364,333,311.2,394,258,207,159,137,2,"1,542","1,271",66,15,20,,34,,63,32,2,,,,39,10,,407,333,,935,446,65,,8,45,7,"1,446",33,
CSUN,Big West,54,"1,382",203,355,77,8,547,33,11,127,32,175,9,30,240,56,16,8,,32,13,,420,361,358.1,375,218,171,136,284,4,"1,647","1,416",71,14,27,,18,,51,80,,,,,31,12,1,370,384,,"1,075",374,57,1,6,35,10,"1,506",20,
Dartmouth,Ivy League,40,"1,064",178,303,41,14,450,26,1,77,26,159,4,21,174,42,11,6,,54,11,,326,244,251.2,330,241,197,140,124,3,"1,254","1,029",88,8,27,,26,,33,42,,,,,36,16,,220,368,,755,261,51,,8,58,6,"1,067",11,
Dayton,Atlantic 10,51,"1,341",232,376,72,4,567,37,,88,20,204,13,39,191,43,11,4,,75,22,,414,341,325,419,279,222,163,194,5,"1,609","1,353",73,19,43,,20,,47,59,4,,,,29,17,,310,423,,975,336,69,,7,36,16,"1,380",4,
Delaware,CAA,51,"1,336",216,349,61,14,519,27,4,136,36,184,9,21,241,69,7,6,,91,22,,339,383,334.1,434,247,210,126,176,4,"1,603","1,418",79,7,25,,12,,20,39,4,,,,21,18,,387,400,,"1,003",408,71,,6,42,8,"1,482",18,
Delaware St.,MEAC,42,"1,067",142,270,38,10,346,6,,66,13,106,8,36,153,34,15,6,1,40,8,,362,265,261.2,404,267,206,78,68,2,"1,297","1,147",86,14,24,,16,,20,24,,,,,35,17,,359,317,,785,391,60,,7,56,13,"1,236",16,
DePaul,Big East,51,"1,326",250,370,83,5,598,45,2,164,28,235,14,44,225,79,21,9,,31,8,,366,381,344.2,354,198,162,113,212,7,"1,529","1,347",67,6,42,,11,,28,45,,,,,32,9,,386,399,,"1,034",402,48,,3,37,6,"1,484",12,
Detroit Mercy,Horizon,59,"1,522",197,378,67,10,549,28,,114,14,168,10,19,280,74,15,5,1,82,18,,408,430,393.1,381,218,166,192,347,13,"1,788","1,528",63,8,22,,26,,31,99,,,,,29,6,2,522,242,,"1,180",555,80,2,10,46,26,"1,815",19,
Drake,MVC,59,"1,463",306,409,72,8,566,23,,251,18,277,11,36,320,92,24,11,,95,26,,396,321,378.1,222,128,106,134,577,22,"1,521","1,341",25,6,33,,15,,22,133,2,,,,18,6,,177,359,,"1,135",196,37,,4,31,9,"1,368",8,
Drexel,CAA,60,"1,699",380,543,98,6,854,67,8,206,25,357,12,17,207,74,19,11,,46,5,,443,467,388.2,426,287,241,170,184,6,"1,805","1,586",78,6,56,,29,,24,54,7,,,,19,5,,544,389,,"1,166",542,76,1,13,46,18,"1,784",16,
Duke,ACC,56,"1,465",207,376,68,19,554,24,1,112,39,186,13,51,207,54,19,4,,69,11,,464,437,381,401,223,189,166,284,3,"1,729","1,495",83,5,31,,17,,30,69,1,,,,28,10,,493,316,,"1,143",503,45,,5,33,14,"1,691",14,
East Carolina,AAC,54,"1,404",215,350,53,6,499,28,1,160,41,197,9,22,245,66,24,12,,48,14,,458,327,357.1,418,255,209,191,223,4,"1,721","1,451",53,2,27,,18,,35,70,,,,,35,8,1,483,319,,"1,072",454,59,1,8,37,15,"1,585",17,
Eastern Ill.,OVC,55,"1,480",212,385,74,5,568,33,,140,12,183,15,9,264,81,14,6,,55,14,,433,366,355,413,294,234,174,164,4,"1,734","1,456",82,16,29,,44,,59,47,1,,,,22,23,,453,402,,"1,064",488,88,,21,74,20,"1,640",14,
Eastern Ky.,OVC,57,"1,527",303,447,70,8,692,53,1,168,37,273,14,23,198,46,9,2,,66,18,,409,458,373.1,371,218,183,139,293,6,"1,681","1,480",58,3,40,,30,,36,59,2,,,,21,4,1,444,342,,"1,120",453,61,1,2,41,14,"1,634",15,
Elon,CAA,54,"1,388",251,358,95,7,599,44,2,192,25,221,6,9,228,65,22,12,,20,3,,368,400,354,417,249,201,178,151,5,"1,698","1,463",74,10,46,,17,,23,29,3,,,,19,15,,398,480,,"1,062",392,62,,7,42,7,"1,516",13,
ETSU,SoCon,51,"1,359",222,357,47,6,509,31,2,163,15,194,9,18,206,40,15,4,,50,9,,385,381,327.2,352,244,219,195,178,4,"1,550","1,293",45,5,47,,19,,22,53,1,,,,26,14,,360,416,,983,373,36,,9,52,11,"1,392",11,
Evansville,MVC,49,"1,215",156,279,47,,416,30,5,167,15,138,7,18,312,79,5,1,,76,17,,299,318,313,359,247,204,186,241,1,"1,538","1,267",55,5,36,,26,,42,61,2,,,,32,11,,383,274,,939,397,57,,9,72,11,"1,393",13,1
Fairfield,MAAC,50,"1,357",200,394,49,8,510,17,,115,25,184,7,51,184,58,14,4,,43,10,,435,354,333.1,352,196,153,153,222,7,"1,522","1,321",51,4,23,,36,,14,51,1,,,,23,10,1,396,347,,"1,000",398,53,1,19,50,10,"1,451",13,
Fairleigh Dickinson,NEC,49,"1,247",120,267,41,5,339,7,,97,14,101,1,46,213,55,17,7,,23,18,,424,332,319.1,354,216,185,131,225,3,"1,484","1,265",59,12,33,,10,,43,61,3,,,,31,14,,302,391,,958,309,41,,5,55,13,"1,308",9,
FGCU,ASUN,51,"1,337",169,339,57,10,470,18,4,112,31,150,5,31,241,65,13,4,,49,10,,340,414,357,295,117,88,125,305,12,"1,496","1,319",38,9,5,,11,,19,88,6,,,,26,7,,346,376,,"1,071",356,47,,2,54,11,"1,474",19,
FIU,C-USA,51,"1,266",172,295,38,8,403,18,,169,26,149,4,19,212,69,14,8,,54,11,,383,361,342.2,346,197,173,125,225,5,"1,526","1,327",58,8,39,,12,,31,63,1,,,,22,19,2,275,478,,"1,028",299,47,2,6,72,10,"1,374",14,
Fla. Atlantic,C-USA,50,"1,277",172,332,50,6,436,14,4,147,17,152,13,24,280,66,14,11,,86,9,,354,310,329,374,234,167,172,171,3,"1,553","1,325",50,5,27,,30,,24,39,1,,,,17,14,1,427,325,,990,451,84,1,11,50,11,"1,525",31,
Florida,SEC,67,"1,739",302,459,66,13,716,55,7,266,56,281,15,22,323,75,21,5,,32,2,,452,498,456,294,139,122,131,524,25,"1,816","1,623",33,10,42,,28,,43,126,4,,,,16,3,,353,451,,"1,368",372,24,,2,32,14,"1,764",18,
Florida A&M,MEAC,53,"1,390",258,375,61,10,489,11,2,130,32,225,9,35,230,47,16,2,,72,12,,414,339,336,382,241,192,137,161,3,"1,574","1,352",62,7,36,,48,,35,44,,,,,32,17,,327,486,,"1,008",336,60,,11,61,11,"1,404",10,
Florida St.,ACC,65,"1,673",454,552,103,18,"1,006",105,1,256,19,423,16,6,245,49,26,7,,115,20,,402,450,412.1,323,135,110,101,378,22,"1,698","1,540",53,11,26,,20,,32,58,6,,,,18,5,2,439,387,,"1,237",434,46,2,8,22,5,"1,717",24,
Fordham,Atlantic 10,55,"1,528",284,467,62,8,701,52,1,134,18,260,8,16,214,49,19,6,,33,11,,373,420,353.1,427,244,194,109,207,1,"1,664","1,476",53,7,48,,17,,29,64,,,,,34,16,,398,420,,"1,060",387,86,,5,44,11,"1,533",11,
Fresno St.,Mountain West,57,"1,455",296,448,82,16,688,42,1,181,44,259,7,38,189,70,24,9,,56,18,,398,422,373,332,191,159,171,281,13,"1,656","1,413",59,5,33,,26,,33,75,6,,,,28,9,2,327,475,,"1,119",341,43,2,5,24,8,"1,503",22,
Furman,SoCon,51,"1,303",168,318,57,13,533,44,1,134,30,152,8,11,302,74,23,7,1,33,11,,303,366,325.2,439,333,274,148,120,2,"1,609","1,376",80,10,49,,46,,27,39,,,,,30,27,1,399,423,,977,384,71,1,7,63,10,"1,432",19,
Ga. Southern,Sun Belt,51,"1,335",225,349,67,4,571,49,2,150,33,207,9,13,249,50,18,7,,14,6,,312,409,341.1,381,222,179,160,160,2,"1,630","1,368",61,7,31,,39,,51,45,1,,,,43,8,,416,414,,"1,024",394,66,,5,56,10,"1,484",15,
Gardner-Webb,Big South,54,"1,386",311,412,81,19,654,41,1,181,30,281,14,24,256,65,22,11,,55,13,,360,353,342.1,370,251,192,182,321,7,"1,629","1,384",64,9,35,,31,,31,70,,,,,15,16,1,293,370,,"1,027",323,76,1,9,54,22,"1,426",8,1
George Mason,Atlantic 10,48,"1,268",152,307,40,5,390,11,2,134,17,137,12,27,182,41,16,6,,30,8,,445,313,325.2,341,185,134,84,237,7,"1,435","1,299",48,8,25,,17,,20,69,2,,,,19,13,,309,395,,977,317,65,,24,73,7,"1,359",17,
George Washington,Atlantic 10,62,"1,706",373,582,104,19,856,44,3,160,42,326,29,30,172,36,22,9,,78,18,,461,484,412.1,447,253,205,150,314,6,"1,860","1,650",89,19,35,,28,,17,78,1,,,,32,11,,381,499,,"1,236",403,61,,7,43,12,"1,700",16,
Georgetown,Big East,49,"1,194",174,296,57,5,438,25,1,137,25,160,14,37,252,68,15,4,,54,19,,335,320,313.1,450,346,300,193,170,1,"1,632","1,347",115,15,54,,19,,39,46,1,,,,32,21,,272,464,,940,278,58,,14,61,13,"1,276",4,
Georgia,SEC,61,"1,580",368,467,77,14,803,77,3,225,30,333,18,23,258,46,22,8,,54,7,,432,401,400.2,304,175,140,172,352,18,"1,730","1,490",46,5,34,,24,,36,86,5,,,,22,10,,403,418,,"1,202",399,57,,7,40,13,"1,658",10,
Georgia St.,Sun Belt,54,"1,370",142,305,49,3,414,18,1,158,22,122,15,17,271,75,16,3,,31,8,,382,393,341.1,452,334,263,205,147,1,"1,721","1,444",77,2,45,,33,,20,43,,,,,30,21,1,422,411,,"1,024",438,78,1,7,90,20,"1,540",14,
Georgia Tech,ACC,58,"1,514",326,419,104,6,718,61,3,256,50,302,15,13,283,76,18,5,,26,7,,383,409,371.1,463,308,244,169,230,4,"1,779","1,536",75,5,64,,41,,28,47,,,,,31,15,,401,441,,"1,114",397,57,,9,49,12,"1,568",17,
Grambling,SWAC,39,954,198,254,44,5,377,23,1,127,30,163,8,32,200,43,3,1,,89,8,,243,255,238.2,325,246,204,172,90,1,"1,224",989,65,13,23,,15,,17,25,1,,,,30,15,1,280,293,,716,305,58,1,13,43,13,"1,079",9,
Grand Canyon,WAC,57,"1,492",232,419,61,7,605,37,1,98,36,219,22,34,230,62,15,7,,37,6,,446,407,386.1,387,186,136,95,201,14,"1,672","1,504",61,3,34,,10,,38,68,3,,,,28,7,,503,398,,"1,159",522,57,,3,39,11,"1,738",30,
Green Bay,Horizon,41,"1,091",144,262,35,3,366,21,1,83,25,132,6,13,181,59,14,8,,23,3,,341,286,266.1,314,215,157,121,140,1,"1,261","1,081",63,11,32,,16,,16,33,1,,,,30,12,1,315,305,,799,329,68,1,13,52,9,"1,196",12,
Hampton,Big South,48,"1,139",202,297,49,18,415,11,,112,21,170,8,31,205,55,7,4,,113,25,,311,317,300.1,420,249,183,100,149,4,"1,481","1,303",67,5,21,,11,,32,39,,,,,26,20,,381,327,,901,385,87,,8,52,14,"1,373",20,
Hartford,America East,51,"1,316",186,325,46,13,457,20,,101,11,156,9,15,273,69,13,3,,29,4,,318,373,323.1,462,284,251,125,116,3,"1,563","1,373",80,21,31,,20,,12,38,,,,,31,22,,417,387,,970,432,50,,2,49,17,"1,452",8,
Harvard,Ivy League,44,"1,151",220,326,59,7,468,23,,124,23,194,11,17,139,43,6,2,,71,11,,342,328,285.2,333,201,162,138,175,2,"1,353","1,156",62,13,21,,28,,34,39,,,,,19,6,,378,262,,857,372,41,,8,59,6,"1,270",12,
Hawaii,Big West,49,"1,228",230,322,59,2,538,51,4,136,37,208,10,16,258,46,11,4,,25,6,,229,415,327,337,161,125,62,174,10,"1,410","1,307",55,3,35,,14,,16,34,,,,,22,2,1,528,239,,981,527,67,1,2,27,8,"1,575",23,
Hofstra,CAA,47,"1,297",224,395,56,6,520,19,,152,22,202,16,21,196,50,19,7,,76,18,,382,306,302.2,361,277,220,239,156,5,"1,524","1,211",67,6,34,,16,,34,55,1,,,,34,5,1,414,281,,908,430,52,1,4,32,13,"1,390",33,
Holy Cross,Patriot,49,"1,280",128,269,45,15,365,7,1,88,26,108,6,45,235,66,12,7,,17,13,,450,330,340.1,352,200,161,98,340,4,"1,510","1,353",71,15,26,,20,,28,90,1,,,,26,4,1,310,336,,"1,021",326,54,1,7,61,15,"1,401",4,
Houston,AAC,58,"1,487",271,432,73,15,625,30,3,155,33,239,12,33,214,46,15,9,,50,14,,429,408,380.1,287,146,107,120,270,17,"1,576","1,408",52,2,26,,12,,14,98,,,,,29,5,,494,331,,"1,141",482,74,,18,22,7,"1,697",21,
Houston Baptist,Southland,46,"1,198",167,305,55,6,471,33,1,100,17,148,6,33,198,48,8,2,,8,3,,333,356,302.2,309,175,140,130,163,6,"1,389","1,174",48,2,16,,14,,33,38,,,,,42,10,,372,335,,908,384,53,,8,59,12,"1,345",11,
