Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Illinois,Big Ten,44,"1,171",179,324,66,9,465,19,,63,48,163,8,30,194,28,14,4,,52,8,,339,312,294.2,255,146,112,96,260,9,"1,274","1,108",38,10,32,,18,,27,62,8,,,,33,10,,297,300,3,884,299,44,,13,31,11,"1,227",10,
Illinois St.,MVC,41,"1,056",197,292,47,10,458,33,1,140,24,186,14,24,238,50,11,6,,30,3,,267,258,271,204,104,79,99,332,14,"1,133","1,007",28,4,19,,18,,12,68,,,,,10,5,,249,206,1,813,263,42,,5,39,6,"1,118",13,
Indiana,Big Ten,44,"1,136",162,302,58,12,468,28,3,91,36,149,11,26,244,59,14,2,,95,22,,284,314,302,271,136,102,94,245,9,"1,291","1,167",43,10,22,,17,,13,57,1,,,,11,4,2,348,269,3,906,347,60,2,9,50,15,"1,313",12,
Indiana St.,MVC,48,"1,353",213,369,62,5,549,36,,140,28,194,9,14,263,58,11,6,,45,7,,371,329,324.2,354,245,197,134,226,5,"1,516","1,296",70,11,29,,20,,43,62,4,,,,27,15,1,387,326,6,974,395,61,1,10,51,6,"1,430",10,
Iona,MAAC,34,926,154,240,49,1,375,28,1,117,14,137,10,13,209,62,8,5,,17,3,,226,234,232,263,162,135,106,217,3,"1,093",959,45,4,19,,15,,9,76,,,,,17,2,,204,254,3,696,212,45,,13,37,5,953,2,
Iowa,Big Ten,44,"1,164",163,284,40,11,403,19,4,103,22,150,6,33,225,60,16,4,,25,12,,374,286,310.2,288,133,104,80,223,6,"1,319","1,181",49,6,21,,9,,21,72,1,,,,34,3,,320,348,4,932,324,47,,9,38,17,"1,303",11,
Iowa St.,Big 12,57,"1,566",315,447,77,8,732,64,4,172,46,283,8,11,326,85,9,4,,78,15,,348,419,377.1,402,254,224,185,213,4,"1,741","1,496",68,11,48,,40,1,31,58,1,,,,22,7,,481,395,4,"1,132",492,49,,8,61,9,"1,673",16,
IUPUI,Horizon,45,"1,169",144,281,48,4,388,17,1,134,14,127,13,33,247,83,9,2,,52,12,,367,282,303.2,330,220,172,104,202,1,"1,386","1,236",62,7,47,,26,,22,41,2,,,,19,5,,292,389,1,910,312,67,,11,61,9,"1,289",13,
Jackson St.,SWAC,37,938,149,229,50,8,313,6,,103,48,130,5,15,217,68,6,4,,46,3,1,212,210,239,329,223,182,69,129,1,"1,157","1,033",62,7,32,,5,,17,38,,,,,27,10,,277,273,2,716,307,70,,10,30,4,"1,093",10,
Jacksonville,ASUN,49,"1,245",200,330,64,9,490,26,3,141,27,175,11,15,236,55,12,4,,47,18,,305,362,322,293,112,89,95,248,16,"1,376","1,227",41,8,12,,5,,27,58,,,,,25,2,,315,363,2,966,331,48,,17,31,11,"1,345",16,
Jacksonville St.,OVC,49,"1,330",192,336,52,8,518,38,,124,38,166,14,37,203,46,14,8,,46,7,,385,411,342,309,205,161,201,320,7,"1,566","1,306",43,9,37,,27,,29,54,,,,,18,12,,297,368,3,"1,026",323,56,,8,80,9,"1,405",14,
James Madison,CAA,45,"1,150",304,353,58,11,646,71,1,187,26,289,22,18,159,35,10,4,,51,3,,258,386,298,189,92,76,99,374,14,"1,214","1,079",17,3,30,,23,,22,90,,,,,9,5,,235,270,2,894,261,28,,9,23,8,"1,183",7,
Kansas,Big 12,48,"1,265",237,337,56,3,567,56,1,165,37,218,6,25,259,65,13,8,,40,5,,310,352,321.1,367,280,220,168,211,2,"1,550","1,316",63,9,58,,29,,33,75,,,,,14,19,,362,358,5,964,351,64,,7,43,10,"1,379",17,1
Kansas City,Summit League,55,"1,545",250,422,60,12,620,38,1,143,34,215,14,20,236,65,17,8,,86,12,,434,424,376.2,448,241,201,116,275,3,"1,727","1,558",81,3,60,,11,,16,51,,,,,25,12,,364,453,1,"1,130",371,64,,7,29,8,"1,565",11,
Kennesaw St.,ASUN,54,"1,381",198,357,63,11,562,40,5,128,14,188,8,31,250,48,15,5,,43,10,,398,376,349.1,334,180,147,140,231,8,"1,566","1,352",60,6,32,,25,,38,62,,,,,22,14,,361,410,3,"1,048",369,69,,14,42,17,"1,486",14,
Kent St.,MAC,53,"1,463",240,423,59,6,599,35,,99,23,227,8,37,246,46,11,4,,21,8,,432,349,352.1,398,250,216,144,300,7,"1,641","1,418",72,8,68,,19,,32,85,1,,,,35,12,,279,445,4,"1,057",311,61,,2,43,14,"1,429",8,
Kentucky,SEC,59,"1,615",378,524,81,17,873,78,7,176,43,341,24,31,262,65,17,5,,62,18,,397,422,385.2,368,191,150,135,270,8,"1,688","1,500",56,4,45,,17,,30,53,,,,,16,7,,447,391,5,"1,157",461,64,,5,33,4,"1,682",29,
La Salle,Atlantic 10,30,698,50,149,30,1,202,7,,48,5,46,1,10,158,58,5,1,,8,4,,223,155,167.1,299,239,184,68,80,,911,806,64,13,40,,17,,18,19,,,,,7,12,,180,224,,502,190,58,,,61,4,750,5,
Lafayette,Patriot,22,494,41,110,17,,151,8,,32,8,37,1,5,130,37,5,3,,8,4,,146,106,119.1,240,192,160,64,45,1,696,591,48,5,21,,12,,19,20,,,,,12,10,,123,182,,358,121,32,,,41,3,511,2,
Lamar University,Southland,51,"1,110",91,206,22,3,264,10,,117,30,79,12,16,245,76,12,2,,23,7,,364,294,293.1,541,412,338,162,125,,"1,627","1,386",111,33,38,,31,,33,36,,,,,28,18,,348,368,2,880,341,72,,4,158,8,"1,293",13,
Lehigh,Patriot,34,944,174,291,61,7,411,15,,91,8,162,4,23,138,36,9,4,,34,11,,272,227,217,224,144,111,87,165,7,974,845,42,3,17,,33,,18,39,,,,,18,6,,232,219,2,651,258,38,,10,29,5,947,15,
Liberty,ASUN,59,"1,568",306,453,94,9,739,58,1,176,37,277,11,28,246,67,20,12,,48,12,,451,412,397,330,165,146,142,291,19,"1,666","1,470",46,13,31,,12,,20,65,,,,,25,9,,442,406,7,"1,191",471,53,,5,41,20,"1,715",22,
Lipscomb,ASUN,36,962,125,253,41,5,322,6,,76,19,107,7,21,170,52,7,3,,44,6,,301,236,241.2,212,126,99,113,163,6,"1,083",910,46,9,20,,4,,23,50,2,,,,28,8,1,316,224,1,725,313,38,1,5,29,7,"1,076",6,
LIU,NEC,36,983,236,343,53,9,480,22,,103,26,209,16,18,94,40,8,3,,47,2,,312,232,229.1,241,140,123,106,172,3,"1,050",892,38,2,25,,25,,22,46,3,,,,21,9,,261,227,4,688,277,27,,5,24,7,992,10,
LMU (CA),WCC,42,"1,078",136,263,41,8,377,19,,105,18,124,2,16,199,58,12,4,,46,8,,279,317,273,282,170,141,88,184,9,"1,203","1,058",46,12,31,,12,,16,43,1,,,,27,14,,235,357,4,819,262,56,,6,26,11,"1,137",12,
Long Beach St.,Big West,41,"1,079",239,345,55,15,523,31,3,119,38,220,15,11,129,45,10,5,,41,8,,286,315,263.1,237,126,96,103,259,7,"1,182","1,014",26,5,20,,22,,42,66,,,,,19,4,,277,220,1,790,291,49,,7,39,10,"1,130",15,
Longwood,Big South,54,"1,328",201,312,63,8,475,28,,142,40,181,15,21,339,89,16,6,,125,23,,302,363,345.2,343,261,225,194,225,5,"1,623","1,357",55,7,48,,36,,45,33,,,,,17,10,,407,366,3,"1,037",403,57,,14,60,14,"1,497",14,
Louisiana,Sun Belt,59,"1,604",386,507,76,12,805,66,1,162,46,343,19,22,189,61,18,7,,164,28,,437,442,390,316,160,132,101,391,19,"1,632","1,475",40,7,37,,32,,27,78,2,,,,22,5,2,343,419,5,"1,170",354,61,2,4,53,5,"1,585",15,
Louisiana Tech,C-USA,52,"1,401",183,326,55,8,457,20,,124,55,154,11,41,290,65,10,2,,48,5,,424,369,360.2,392,245,190,198,211,2,"1,704","1,439",61,11,36,,24,,28,51,,,,,27,8,4,450,373,2,"1,082",464,65,4,13,65,11,"1,611",24,
Louisville,ACC,50,"1,341",185,335,40,10,512,39,5,99,24,166,5,20,313,63,10,3,,44,10,,376,300,339.2,349,201,160,114,207,7,"1,508","1,348",58,5,41,,12,1,15,58,,,,,20,11,,409,366,6,"1,019",406,58,,7,71,14,"1,483",17,
Loyola Chicago,MVC,42,"1,092",131,256,37,3,350,17,1,92,29,101,3,37,264,71,6,1,,54,22,,267,300,283.2,293,201,166,198,235,1,"1,355","1,095",65,10,26,,18,,29,55,8,,,,23,9,,289,280,1,851,309,33,,1,41,12,"1,193",12,
LSU,SEC,57,"1,489",278,400,55,12,671,64,,188,30,252,16,11,219,51,14,7,,61,5,,391,476,383.1,344,196,142,137,282,5,"1,693","1,473",47,2,42,,18,,45,86,,,,,26,12,,429,399,2,"1,150",435,59,,22,28,5,"1,644",22,
Maine,America East,33,853,101,194,35,7,300,19,,63,12,93,6,10,208,50,7,3,,32,7,,191,247,211,232,162,138,74,140,1,984,856,40,7,25,,25,,26,40,,,,,17,11,,231,247,,633,232,35,,3,43,4,900,4,
Manhattan,MAAC,38,"1,027",136,257,39,5,366,20,,79,13,119,5,15,172,61,12,4,,34,6,,255,329,263.1,242,140,123,130,211,3,"1,183",992,39,4,19,,18,,22,55,,,,,27,10,2,267,283,4,790,274,34,2,7,38,9,"1,098",13,
Marist,MAAC,27,755,133,227,34,4,344,25,3,66,7,116,3,25,127,35,3,,,47,9,,207,197,185.2,149,89,66,72,165,3,795,694,24,,12,,20,,12,45,3,,,,14,3,,175,200,,557,186,27,,3,24,4,770,7,
Marshall,C-USA,33,899,190,266,60,4,484,50,,110,39,181,6,13,117,43,11,5,,14,13,,247,261,221,250,152,123,84,134,4,"1,024",889,51,9,22,,7,,25,34,5,,,,22,4,,240,269,4,663,235,33,,1,38,9,931,7,
Maryland,Big Ten,44,"1,108",129,269,25,21,381,15,4,81,17,111,4,9,240,76,8,3,1,69,17,,311,271,287,275,152,128,97,158,3,"1,243","1,103",57,8,27,,20,,18,40,7,,,,18,7,,306,362,3,861,307,31,,9,39,10,"1,199",8,
Massachusetts,Atlantic 10,33,865,200,273,38,16,370,9,,127,31,175,14,16,137,54,6,1,,35,4,,225,219,198,305,227,180,112,139,3,"1,022",877,69,8,36,,31,,15,39,,,,,8,10,,173,254,,594,166,41,,9,43,5,801,14,
McNeese,Southland,61,"1,596",246,414,78,8,598,30,,160,44,220,13,35,272,85,18,8,,128,26,,449,458,421.2,410,193,164,136,234,9,"1,818","1,631",52,4,44,,21,,17,50,1,,,,30,4,,597,365,10,"1,265",634,65,,8,49,9,"1,964",48,
Memphis,AAC,50,"1,232",142,278,39,9,395,20,,108,28,125,7,17,288,85,5,,,59,8,,334,323,309.1,363,308,265,236,211,3,"1,593","1,257",56,7,44,,37,,61,53,,,,,24,15,,341,327,,928,379,67,,20,88,14,"1,374",8,
Mercer,SoCon,47,"1,214",203,329,56,10,459,18,,110,22,170,10,42,225,51,5,1,,71,7,,350,321,307.1,324,199,158,112,136,4,"1,424","1,211",41,4,46,,27,,58,38,,,,,29,14,,354,397,3,922,348,57,,4,25,4,"1,327",16,
Merrimack,NEC,24,574,60,118,21,3,169,8,,56,18,54,2,5,143,34,3,2,,15,4,,187,115,149.2,191,153,132,100,93,3,769,637,39,8,20,,24,,20,32,1,,,,8,4,,178,161,1,449,176,24,,6,45,4,649,1,
Miami (OH),MAC,56,"1,467",427,499,116,11,901,88,1,205,44,403,18,2,247,58,20,7,,85,9,,295,406,345,272,159,130,123,438,19,"1,459","1,294",42,5,27,,19,,28,117,,,,,9,5,,283,286,6,"1,035",291,44,,4,42,7,"1,370",9,
Michigan,Big Ten,46,"1,225",217,359,71,9,568,40,7,98,24,194,6,44,201,47,14,6,,41,9,,350,320,313.2,171,68,55,81,482,19,"1,215","1,086",23,3,15,,3,,29,119,2,,,,14,5,,180,253,2,941,199,24,,2,49,10,"1,164",11,
Michigan St.,Big Ten,40,"1,022",96,231,36,10,326,13,,81,17,89,3,15,247,52,14,4,,20,12,,277,266,273,271,152,116,83,275,4,"1,216","1,082",53,21,16,,20,,24,72,8,,,,21,6,,314,209,5,819,300,44,,10,57,8,"1,163",4,
Middle Tenn.,C-USA,48,"1,321",164,353,57,8,468,14,3,109,17,139,12,42,174,41,16,5,,62,13,,384,418,346.1,338,175,144,87,157,8,"1,475","1,320",47,7,32,,15,,29,33,1,,,,27,11,1,404,428,4,"1,039",425,43,1,3,38,15,"1,507",17,
Minnesota,Big Ten,44,"1,170",205,285,41,7,499,53,13,179,37,180,7,30,245,67,5,1,,33,10,,270,368,312,258,123,92,75,269,9,"1,294","1,156",48,7,20,,24,,38,72,2,,,,21,4,,329,301,7,936,348,35,,8,28,7,"1,319",14,
Mississippi St.,SEC,60,"1,563",298,427,69,6,718,70,3,189,60,270,10,16,263,79,24,18,,35,9,,392,457,388.2,374,234,192,163,417,8,"1,750","1,513",61,5,50,,35,,43,109,,,,,19,12,,323,389,6,"1,165",356,76,,13,31,12,"1,597",10,
Mississippi Val.,SWAC,24,578,75,132,32,5,198,8,,50,12,69,5,10,121,28,4,1,,8,6,,136,151,141,203,158,120,58,58,,724,627,37,5,7,,10,,22,10,,,,,12,1,1,178,155,1,421,209,54,1,6,68,3,684,4,1
Missouri,SEC,59,"1,596",382,510,88,5,881,91,1,209,22,342,15,5,264,69,25,19,,57,11,,384,412,383,347,196,170,130,317,12,"1,657","1,465",52,2,55,,23,,35,74,2,,,,18,9,,382,415,11,"1,149",387,33,,6,22,7,"1,569",13,
Missouri St.,MVC,43,"1,082",186,287,49,10,431,25,,140,19,158,10,28,274,85,13,5,,69,12,,264,266,286.2,271,143,109,108,232,10,"1,269","1,105",39,4,29,,18,,27,58,,,,,18,9,2,261,335,3,858,268,57,2,1,25,8,"1,183",12,
Monmouth,MAAC,34,913,190,262,56,2,397,25,2,124,40,172,4,10,194,73,7,5,,21,8,,179,265,232,206,93,79,58,166,5,991,880,30,3,6,,13,,23,55,3,,,,28,2,,306,203,3,696,302,37,,6,24,7,"1,035",5,
Montana,Big Sky,49,"1,349",234,422,60,3,599,37,1,102,50,212,12,24,155,31,8,5,,20,10,,351,419,321.1,443,336,291,187,251,3,"1,645","1,358",104,13,59,,30,,43,69,,,,,36,21,,301,377,,964,294,56,,9,59,8,"1,314",10,
Morehead St.,OVC,41,"1,021",131,224,35,4,285,6,,81,37,112,8,6,223,41,14,4,,67,14,,258,286,257.1,329,230,190,139,129,2,"1,273","1,059",48,8,40,,10,,33,51,,,,,32,10,,298,311,1,772,300,57,,9,56,12,"1,129",8,
Morgan St.,MEAC,41,"1,039",189,280,49,14,402,15,,114,14,149,13,23,164,42,11,1,,68,8,,284,304,270,297,169,130,96,189,6,"1,232","1,095",67,6,20,,12,,18,47,5,,,,17,6,,262,323,4,810,291,55,,11,51,9,"1,156",14,
Mount St. Mary's,NEC,44,"1,142",181,303,52,8,428,19,,110,31,163,7,37,249,74,14,7,,56,12,,306,277,289.1,379,238,194,105,127,3,"1,367","1,206",68,5,47,,18,,28,35,,,,,19,9,,386,306,2,867,400,47,,10,38,6,"1,314",20,
Murray St.,OVC,51,"1,335",158,300,58,5,422,18,1,114,28,143,13,23,282,57,13,6,,67,10,,337,424,351.2,337,163,131,84,265,4,"1,504","1,367",55,5,27,,25,,19,57,,,,,28,6,,411,343,4,"1,055",407,57,,9,58,7,"1,519",18,
N.C. A&T,MEAC,42,"1,039",150,253,48,6,337,8,,110,25,130,8,23,199,59,16,3,,53,12,,266,305,268.1,361,312,252,197,128,1,"1,382","1,107",65,10,41,,63,,39,33,,,,,21,18,,301,305,1,805,334,73,,13,64,23,"1,212",21,
N.C. Central,MEAC,44,"1,133",134,274,52,11,396,16,2,88,26,116,13,19,201,40,21,11,,44,9,,314,338,287.2,361,274,214,125,142,,"1,412","1,222",58,17,31,,28,,23,27,,,,,28,14,,338,360,2,863,328,77,,4,64,6,"1,268",10,
NC State,ACC,51,"1,252",241,329,41,6,589,69,1,174,43,225,11,11,275,70,16,2,,91,14,,289,349,323.2,317,206,164,136,257,10,"1,499","1,281",40,9,52,,23,,60,57,5,,,,14,8,,312,370,,971,305,50,,7,45,8,"1,326",16,
Nebraska,Big Ten,44,"1,151",190,288,58,6,469,37,10,117,37,169,12,10,238,74,18,9,,40,12,,296,299,291,303,171,142,118,173,3,"1,296","1,133",50,9,25,,26,,20,47,2,,,,19,6,,367,284,5,873,388,40,,13,45,9,"1,301",23,
Nevada,Mountain West,40,"1,115",194,322,51,7,462,25,,116,29,184,9,14,230,76,14,6,,62,4,,311,238,268.2,298,173,141,101,193,6,"1,219","1,077",36,1,36,,13,,15,50,,,,,17,9,,272,309,6,806,294,39,,5,38,11,"1,139",17,
New Mexico,Mountain West,46,"1,104",140,252,53,6,407,30,1,108,30,129,9,12,279,93,16,5,,30,7,,254,319,278.2,440,314,260,147,100,1,"1,483","1,236",63,6,41,,11,,52,41,,,,,25,23,,342,347,1,836,357,71,,9,58,13,"1,264",19,
New Mexico St.,WAC,52,"1,407",275,413,83,9,712,66,2,137,41,254,12,12,319,80,16,5,,51,16,,312,331,342,409,260,205,132,222,3,"1,601","1,408",69,6,56,,11,,27,75,2,,,,23,11,,294,466,2,"1,026",319,62,,3,62,10,"1,407",7,1
Niagara,MAAC,30,809,133,229,39,6,325,15,1,96,15,119,11,24,156,37,3,,,25,2,,203,227,201,266,175,162,94,113,1,985,852,45,2,28,,12,,18,35,,,,,15,6,,236,221,1,603,247,37,,6,34,8,887,8,
Nicholls,Southland,40,"1,041",127,276,40,5,353,9,,76,25,108,4,19,190,55,12,5,,28,4,,330,236,256,295,210,166,176,117,3,"1,278","1,013",62,5,21,,24,,36,37,1,,,,38,15,,314,299,2,766,329,48,,9,66,13,"1,143",20,
NIU,MAC,56,"1,473",253,389,87,2,561,27,1,162,28,215,10,20,248,87,13,3,,60,24,,402,394,361.1,491,338,257,143,200,4,"1,763","1,542",102,9,48,,10,,36,53,1,,,,23,19,,470,344,3,"1,084",490,84,,9,40,23,"1,658",20,
Norfolk St.,MEAC,39,"1,045",193,282,49,9,424,25,,119,33,164,12,15,152,41,17,7,,79,11,,309,287,265,239,168,105,108,196,4,"1,195","1,038",45,9,13,,24,,14,44,,,,,29,5,1,286,287,2,795,296,77,1,22,59,11,"1,168",8,
North Ala.,ASUN,38,919,143,214,32,8,325,21,,109,23,119,11,24,205,47,12,3,,50,8,,270,232,243,229,127,112,76,195,5,"1,050",916,50,9,31,,7,,20,54,,,,,32,6,,222,284,1,729,229,29,,2,43,11,987,8,
North Carolina,ACC,40,"1,030",155,264,41,6,386,23,3,88,26,130,11,16,224,50,15,7,,47,24,,299,231,265,313,204,171,83,181,4,"1,231","1,106",45,5,48,,21,,14,41,1,,,,24,4,,312,278,1,795,294,59,,10,33,11,"1,148",9,
North Dakota,Summit League,50,"1,299",103,274,56,3,369,11,,74,31,88,7,13,327,70,14,5,,39,10,,351,323,327.2,346,220,170,143,168,6,"1,487","1,276",48,9,26,,34,,31,54,1,,,,23,12,2,444,316,3,983,464,55,2,10,70,12,"1,502",24,
North Dakota St.,Summit League,45,"1,231",164,307,48,10,447,24,,92,10,148,7,25,205,62,14,5,,28,5,,393,310,301,331,202,177,113,234,3,"1,396","1,233",50,8,40,,21,1,25,59,1,,,,19,5,1,365,274,,903,373,61,1,12,39,11,"1,337",7,
North Florida,ASUN,44,"1,134",145,303,45,3,399,15,2,102,13,131,10,20,135,53,18,1,,60,16,,371,324,297,354,184,139,114,217,2,"1,397","1,216",65,8,13,,21,,27,51,5,,,,28,10,1,358,282,2,891,358,57,2,5,80,7,"1,306",12,
North Texas,C-USA,50,"1,262",235,338,85,6,543,36,,159,26,194,7,22,196,59,18,7,,63,7,,340,366,327.1,226,108,81,85,457,12,"1,329","1,204",32,4,19,,14,,19,114,1,,,,17,3,1,264,241,9,982,256,45,1,7,29,7,"1,283",11,
Northern Colo.,Big Sky,39,"1,013",158,267,48,12,402,21,,69,24,133,4,24,126,35,12,3,,30,9,,317,284,246.1,410,261,220,98,134,1,"1,260","1,112",77,14,40,,14,,16,38,,,,,20,14,,307,262,3,739,316,38,,2,28,11,"1,093",14,
Northern Ky.,Horizon,38,959,117,245,41,11,353,15,1,88,19,105,4,38,172,44,14,4,,19,9,,295,254,251,264,163,132,108,182,2,"1,160","1,006",44,9,22,,22,1,13,43,1,,,,19,14,,238,311,,753,245,45,,4,46,6,"1,043",6,
Northwestern,Big Ten,47,"1,269",238,358,62,17,556,34,2,121,48,210,8,15,242,62,10,6,,82,6,,309,342,313.1,271,141,117,91,288,10,"1,336","1,178",47,5,31,,24,,39,66,3,,,,23,5,,317,301,2,939,318,31,,9,34,12,"1,288",11,
Northwestern St.,Southland,46,"1,203",199,321,50,8,456,23,,143,26,186,16,35,190,45,13,10,,25,6,,338,361,301.2,313,175,149,92,247,7,"1,346","1,190",34,4,32,,19,,23,45,,,,,30,11,,311,327,2,905,299,39,,1,56,6,"1,243",3,
Notre Dame,ACC,48,"1,241",239,371,62,13,585,42,,89,45,215,8,25,179,32,16,5,,83,16,,404,277,305,258,138,105,111,217,10,"1,317","1,156",41,8,24,,11,,17,62,2,,,,25,8,,379,286,4,915,368,47,,1,37,13,"1,330",14,
Oakland,Horizon,42,"1,165",210,348,63,10,524,31,1,87,18,182,8,15,154,45,14,4,,41,10,,308,319,281.1,307,155,113,61,177,5,"1,242","1,119",46,11,17,,10,,15,62,4,,,,39,8,,329,305,1,844,341,57,,5,38,7,"1,242",10,
Ohio,MAC,47,"1,280",224,369,63,9,555,35,,115,22,198,17,15,203,62,10,3,,84,15,,292,404,306.1,403,255,219,107,193,1,"1,444","1,279",70,7,47,,13,,21,53,2,,,,22,15,,269,417,,919,297,43,,6,29,11,"1,259",11,
Ohio St.,Big Ten,43,"1,146",179,304,54,6,469,33,11,91,29,167,7,35,207,46,9,3,,44,7,,359,287,295.1,276,159,121,120,211,5,"1,297","1,119",53,7,23,,16,,31,52,2,,,,22,4,1,313,311,1,886,338,42,1,10,37,10,"1,266",22,
Oklahoma,Big 12,60,"1,645",638,666,110,10,"1,279",161,1,238,63,606,29,9,161,34,14,7,,65,8,,332,463,357.2,233,117,99,115,427,23,"1,430","1,269",28,3,44,,19,,31,78,,,,,12,3,,252,362,5,"1,072",271,25,,3,7,7,"1,368",17,
Oklahoma St.,Big 12,60,"1,562",356,488,88,7,869,93,1,161,42,330,19,37,265,54,17,10,,57,14,,391,425,393.2,298,149,102,154,365,18,"1,657","1,462",40,3,32,,25,,21,62,,,,,13,6,1,494,278,9,"1,181",493,54,1,3,23,9,"1,728",24,
Ole Miss,SEC,58,"1,471",282,427,55,10,634,44,1,184,80,256,22,22,255,83,24,13,,48,5,,420,376,377,385,172,136,89,309,16,"1,627","1,478",55,4,25,,20,,38,100,12,,,,16,6,,430,345,7,"1,131",441,40,,6,13,8,"1,612",22,
Omaha,Summit League,48,"1,244",172,331,52,9,470,23,1,106,24,161,9,22,209,50,14,8,,44,8,,383,323,311.2,303,190,161,139,284,6,"1,392","1,200",75,9,31,,27,,22,83,1,,,,20,11,,286,328,1,935,318,42,,12,41,13,"1,295",12,
Oregon,Pac-12,57,"1,492",269,432,77,7,685,54,1,142,32,258,15,24,254,86,14,10,,64,13,,416,375,373,278,151,137,106,475,17,"1,526","1,368",42,6,41,,29,,34,120,2,,,,14,4,,286,321,10,"1,119",301,34,,10,29,12,"1,454",16,
Oregon St.,Pac-12,46,"1,211",173,291,53,4,484,44,4,108,31,163,7,11,278,71,20,12,,9,7,,317,307,308.1,266,162,122,115,290,8,"1,344","1,185",51,5,33,,8,,21,80,,,,,14,8,1,342,262,1,925,343,55,1,10,39,11,"1,323",13,
Pacific,WCC,29,764,89,178,29,7,245,8,,45,27,73,6,22,107,14,10,5,,38,10,,202,267,202.2,190,97,72,78,137,2,917,788,30,3,9,,10,,29,39,,,,,17,2,2,240,211,6,608,236,34,3,3,39,5,878,10,
Penn,Ivy League,10,263,31,71,15,,107,7,,28,6,30,,1,54,10,3,,,11,2,,60,71,66,76,45,36,29,45,1,309,273,12,,8,,4,,5,12,,,,,1,1,,62,82,,198,70,10,,,11,3,278,3,
Penn St.,Big Ten,41,978,85,176,33,3,257,14,,71,20,78,5,27,242,62,4,2,,36,8,,276,294,269,329,229,170,71,168,1,"1,249","1,112",66,17,34,,10,,29,42,4,,,,26,11,,242,364,1,803,249,53,,3,49,10,"1,105",9,
Pittsburgh,ACC,46,"1,203",192,303,51,10,509,45,,120,23,180,5,16,309,62,12,2,,55,12,,272,307,301,401,277,220,141,193,2,"1,496","1,287",59,4,45,,15,,27,55,,,,,26,15,,354,324,2,903,358,72,,9,78,13,"1,333",7,
Portland St.,Big Sky,41,"1,142",187,366,43,9,493,22,,75,17,170,6,26,186,36,12,8,,53,9,,352,234,259,314,216,191,122,193,6,"1,242","1,065",75,11,36,,18,,24,50,1,,,,19,12,,237,321,,777,239,37,,2,33,10,"1,053",8,
Prairie View,SWAC,32,808,146,228,34,3,304,12,1,92,9,131,9,30,143,41,7,2,,91,10,,221,228,208.2,252,182,158,113,125,2,"1,014",837,40,7,35,,21,,32,51,2,,,,16,16,,187,276,2,624,206,36,,5,39,10,866,12,
Presbyterian,Big South,34,799,95,182,36,1,277,19,,66,7,82,9,29,159,38,3,1,,12,4,,235,242,217.1,171,105,86,103,212,6,948,795,23,10,13,,8,,23,45,,,,,22,5,,138,279,1,652,142,32,,2,46,14,826,1,
Princeton,Ivy League,3,68,5,13,5,1,20,,,6,1,5,,6,7,4,,,,3,1,,36,14,20,16,7,7,10,19,,90,75,1,,1,,2,,5,6,,,,,,,,20,19,,60,24,,,,7,,84,1,
Providence,Big East,22,550,54,123,24,,192,15,,58,10,53,,7,124,30,7,4,,5,7,,176,126,148,154,97,70,38,132,1,659,596,28,6,19,,11,,10,27,,,,,12,3,,158,139,2,444,156,36,,7,23,3,636,,
Purdue,Big Ten,44,"1,192",142,300,65,9,434,17,6,87,11,130,8,29,240,56,17,9,,24,7,,361,286,302,347,187,159,124,178,4,"1,391","1,189",73,15,20,,22,1,32,42,13,,,,39,7,,384,289,3,905,399,37,,6,44,14,"1,341",15,
Purdue Fort Wayne,Horizon,39,989,168,237,51,3,408,38,1,98,12,146,8,28,201,59,5,1,,17,1,,257,302,249.1,327,234,181,143,155,2,"1,265","1,056",53,7,32,,23,,19,50,,,,,39,8,,302,263,2,748,313,62,,9,42,8,"1,123",11,
Quinnipiac,MAAC,36,940,132,234,42,2,301,7,1,114,21,120,6,30,161,56,3,3,,30,7,,272,270,238,339,231,195,128,74,,"1,205","1,025",69,11,6,,45,1,27,32,,,,,16,9,,375,209,2,714,415,63,,17,54,8,"1,192",15,
Radford,Big South,54,"1,424",217,374,59,10,564,37,,144,28,192,8,37,231,61,22,7,,87,25,,418,381,350.1,387,237,200,124,200,6,"1,594","1,387",67,6,47,,10,,30,56,,,,,39,13,1,381,422,2,"1,051",408,65,1,4,50,6,"1,524",23,
Rhode Island,Atlantic 10,27,657,93,177,47,5,279,15,,66,10,88,6,11,153,53,9,1,,9,2,,143,186,156.2,287,246,194,111,75,,919,747,44,11,30,,18,,35,14,,,,,14,12,,174,202,,470,177,51,,2,33,5,698,4,
Rider,MAAC,37,"1,017",154,301,42,2,374,9,,74,20,128,6,19,135,33,15,6,,11,2,,319,253,243.1,287,181,122,105,178,3,"1,151",984,52,1,18,,25,,23,46,,,,,32,7,,239,280,2,730,261,61,,3,52,6,"1,052",11,
