Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
Boston College,ACC,45,"1,132",113,264,45,4,368,17,,105,27,107,6,21,243,53,8,5,,21,5,,345,287,296,334,204,160,118,181,4,"1,406","1,206",49,12,24,,17,1,52,53,,,,,22,8,,397,271,1,885,412,61,,8,56,19,"1,358",8,
Boston U.,Patriot,40,"1,035",240,331,64,13,469,16,1,116,38,205,12,32,150,47,6,1,,56,9,,258,296,261,169,64,47,87,254,16,"1,066",952,18,3,14,,13,,14,57,,,,,10,2,1,319,180,3,783,344,44,1,2,6,11,"1,171",9,
Bowling Green,MAC,54,"1,389",187,368,52,5,511,27,,145,19,170,19,51,308,81,14,3,,46,7,,381,356,358.2,312,205,172,178,404,10,"1,594","1,341",55,3,42,,17,,39,125,1,,,,29,6,1,264,361,1,"1,076",294,46,1,8,59,14,"1,416",15,
Bradley,MVC,42,"1,032",152,253,36,7,366,21,1,103,18,138,11,8,228,42,10,6,,36,6,,253,295,268.1,294,204,161,154,173,3,"1,269","1,060",44,7,29,,36,,26,48,2,,,,21,7,1,298,291,7,805,323,50,1,14,40,18,"1,178",17,
Brown,Ivy League,2,50,7,11,1,1,17,1,,10,1,5,,,7,3,1,,,4,,,12,18,13,17,8,8,7,12,1,62,52,2,,1,,2,,,1,,,,,2,1,,9,17,1,39,8,,,,1,1,47,,
Bryant,NEC,27,647,77,163,32,3,243,14,,68,11,76,3,6,151,38,4,2,,25,9,,130,192,161.2,256,209,165,100,81,2,874,722,40,6,23,,19,,16,27,,,,,24,12,,188,196,1,485,190,39,,4,35,3,714,5,
Bucknell,Patriot,30,781,109,185,29,1,267,17,,80,16,95,6,11,165,50,16,11,,18,5,,211,209,198.1,221,111,91,61,155,2,894,796,60,5,15,,18,,20,30,,,,,13,4,,183,230,2,595,201,28,,4,33,5,824,6,
Buffalo,MAC,53,"1,330",224,319,47,3,564,64,,167,51,212,10,10,385,122,15,8,,49,11,,252,366,333.2,466,338,282,166,195,2,"1,661","1,413",64,8,59,,43,,36,50,,,,,28,18,,327,427,4,"1,000",344,65,,21,64,19,"1,409",9,
Butler,Big East,39,988,121,217,30,7,321,20,4,108,27,110,8,24,237,42,8,3,,44,12,,262,267,261.2,252,135,113,92,261,6,"1,152","1,026",46,5,19,,26,,14,63,4,,,,10,10,,206,297,1,785,221,38,,12,47,4,"1,044",10,
BYU,WCC,55,"1,432",313,428,70,10,776,86,1,148,36,291,10,36,243,88,16,5,,65,10,,387,374,354,338,187,151,117,301,10,"1,540","1,374",42,2,29,,21,,29,74,2,,,,14,4,2,482,233,2,"1,062",476,59,2,15,40,11,"1,597",22,
Cal Poly,Big West,35,954,144,277,50,5,394,19,1,98,25,131,4,15,147,52,13,6,,21,3,,312,210,228,316,197,138,88,134,1,"1,107",972,48,8,18,,17,,12,30,2,,,,18,17,,250,266,2,684,248,57,,13,53,5,989,13,
Cal St. Fullerton,Big West,53,"1,343",308,440,85,7,719,60,,133,29,282,15,15,190,48,10,5,,107,19,,356,350,333.2,304,155,131,162,230,13,"1,503","1,278",42,10,26,,11,,32,72,,,,,24,7,,415,327,7,"1,001",381,40,,7,23,6,"1,422",12,
California,Pac-12,37,967,138,254,34,4,377,27,4,96,29,126,5,11,214,65,9,3,,25,7,,255,235,236.1,247,156,120,92,167,4,"1,100",951,32,3,33,,29,,36,53,6,,,,10,10,1,247,269,2,709,260,51,1,2,34,7,"1,020",5,
California Baptist,WAC,52,"1,358",160,331,70,5,462,17,,111,22,147,13,38,212,56,16,8,,16,6,,428,388,349.2,385,228,193,138,233,4,"1,609","1,412",66,6,37,,17,,25,55,,,,,24,10,,382,396,1,"1,049",364,60,,3,59,14,"1,473",6,
Campbell,Big South,47,"1,120",200,302,62,18,484,28,,141,26,188,16,20,252,65,9,3,,75,17,,254,324,298.1,279,161,121,118,224,9,"1,320","1,154",42,8,26,,15,,25,54,,,,,12,11,,341,288,1,895,348,54,,6,44,17,"1,297",12,
Canisius,MAAC,36,988,199,288,46,7,393,15,,131,17,165,5,14,182,70,6,4,,100,15,,280,207,238,217,108,89,71,192,9,"1,027",915,41,2,21,,11,,17,62,,,,,20,4,,227,270,2,714,246,37,,5,23,6,997,8,
Central Ark.,Southland,56,"1,461",279,430,75,9,625,34,3,185,32,239,11,22,309,68,11,6,,138,19,,336,371,360.2,281,120,99,106,301,15,"1,494","1,337",52,3,29,,15,,25,69,,,,,20,6,,429,318,2,"1,082",444,44,,5,25,10,"1,570",13,
Central Conn. St.,NEC,38,948,193,254,55,2,457,48,1,128,16,171,10,17,260,79,4,4,,36,9,,211,215,243,257,160,136,90,178,3,"1,091",958,47,5,37,,15,,15,43,,,,,16,12,,227,291,5,729,245,41,,1,27,7,"1,015",4,
Central Mich.,MAC,48,"1,222",222,332,72,4,505,31,,126,25,197,14,36,255,69,10,4,,13,9,,301,335,305,409,275,238,132,241,2,"1,488","1,291",89,16,36,,20,,35,64,,,,,16,14,,275,360,3,915,294,43,,3,50,10,"1,252",13,
Charleston So.,Big South,35,923,118,235,31,6,341,21,,87,10,93,10,23,140,30,10,6,,40,2,,255,289,231.2,274,179,150,90,122,1,"1,091",946,46,5,36,,27,,17,30,,,,,27,10,1,268,281,,695,269,40,1,2,50,7,"1,004",9,
Charlotte,C-USA,50,"1,368",269,402,98,11,636,38,4,138,41,233,11,7,189,41,14,7,,62,13,,326,423,338.1,384,216,164,132,231,1,"1,553","1,357",82,12,38,,28,,22,65,,,,,28,14,,366,384,5,"1,015",356,55,,12,32,11,"1,426",22,
Chattanooga,SoCon,38,975,122,237,54,3,336,13,,91,22,108,7,44,174,44,7,3,,18,6,,289,292,259,311,209,166,135,120,5,"1,255","1,046",58,3,33,,13,,25,30,2,,,,39,10,,317,301,2,777,339,45,,2,52,10,"1,161",14,
